name,class,pos,rate,star,school,conf,year
Hunter Long,recruit,TE,5.4,2,BC,ACC,2017
Travis Levy,recruit,RB,5.6,3,BC,ACC,2017
Noah Jordan-Williams,recruit,WR,5.4,2,BC,ACC,2017
Caleb Stoneburner,recruit,WR,5.6,3,BC,ACC,2017
Brandon Sebastian,recruit,ATH,5.6,3,BC,ACC,2017
CJ Lewis,recruit,QB,5.6,3,BC,ACC,2017
Patrick Brown,recruit,TE,5.5,3,BC,ACC,2017
Tate Haynes,recruit,QB,5.4,2,BC,ACC,2017
EJ Perry,recruit,QB,5.2,2,BC,ACC,2017
Jahmin Muse,recruit,WR,5.5,3,BC,ACC,2017
Drew McQuarrie,recruit,QB,5.3,2,BC,ACC,2017
AJ Dillon,recruit,RB,5.8,4,BC,ACC,2017
Matthew McDonald,recruit,QB,5.4,2,BC,ACC,2017
Tee Higgins,recruit,WR,6.1,5,CLEM,ACC,2017
Chase Brice,recruit,QB,5.8,4,CLEM,ACC,2017
Hunter Johnson,recruit,QB,6.1,5,CLEM,ACC,2017
Amari Rodgers,recruit,WR,5.8,4,CLEM,ACC,2017
Travis Etienne,recruit,RB,5.7,3,CLEM,ACC,2017
Deon Jackson,recruit,ATH,5.6,3,DUKE,ACC,2017
Damond Johnson,recruit,WR,5.5,3,DUKE,ACC,2017
Chris Katrenick,recruit,QB,5.6,3,DUKE,ACC,2017
Jake Marwede,recruit,TE,5.7,3,DUKE,ACC,2017
Noah Gray,recruit,TE,5.3,2,DUKE,ACC,2017
Joshua Blackwell,recruit,ATH,5.5,3,DUKE,ACC,2017
Marvin Hubbard,recruit,RB,5.5,3,DUKE,ACC,2017
Bailey Hockman,recruit,QB,5.7,3,FSU,ACC,2017
Zaquandre White,recruit,RB,5.8,4,FSU,ACC,2017
Alex Marshall,recruit,TE,5.8,4,FSU,ACC,2017
James Blackman,recruit,QB,5.8,4,FSU,ACC,2017
Tamorrion  Terry,recruit,WR,5.6,3,FSU,ACC,2017
Cam Akers,recruit,RB,6.1,5,FSU,ACC,2017
Tre McKitty,recruit,TE,5.7,3,FSU,ACC,2017
Khalan Laborn,recruit,RB,6.1,5,FSU,ACC,2017
D.J. Matthews,recruit,WR,6.0,4,FSU,ACC,2017
Deonte Sheffield,recruit,RB,5.6,3,FSU,ACC,2017
TD Roof,recruit,ATH,5.5,3,GTCH,ACC,2017
Tobias Oliver,recruit,QB,5.5,3,GTCH,ACC,2017
Jerry Howard,recruit,RB,5.6,3,GTCH,ACC,2017
Jordan Ponchez-Mason,recruit,RB,5.5,3,GTCH,ACC,2017
Adonicas Sanders,recruit,WR,5.2,2,GTCH,ACC,2017
Malik Cunningham,recruit,QB,5.8,4,LOU,ACC,2017
Corey Reed,recruit,WR,5.8,4,LOU,ACC,2017
Justin Marshall,recruit,WR,5.8,4,LOU,ACC,2017
Joshua Johnson,recruit,WR,5.6,3,LOU,ACC,2017
Kemari Averett,recruit,TE,5.7,3,LOU,ACC,2017
Colin Wilson,recruit,RB,5.9,4,LOU,ACC,2017
