name,class,pos,rate,star,school,conf,year
Cameron Sullivan-Brown,recruit,WR,5.7,3,PSU,BIG10,2017
K.J. Hamler,recruit,WR,5.8,4,PSU,BIG10,2017
Sean Clifford,recruit,QB,5.9,4,PSU,BIG10,2017
Mac Hippenhammer,recruit,WR,5.7,3,PSU,BIG10,2017
Journey Brown,recruit,RB,5.6,3,PSU,BIG10,2017
Ricky Smalling,recruit,WR,5.8,4,ILL,BIG10,2017
Carmoni Green,recruit,WR,5.8,4,ILL,BIG10,2017
Kendall Smith,recruit,WR,5.6,3,ILL,BIG10,2017
Tony Adams,recruit,ATH,5.5,3,ILL,BIG10,2017
Cameron Thomas,recruit,QB,5.5,3,ILL,BIG10,2017
Mike Epstein,recruit,RB,5.6,3,ILL,BIG10,2017
Dwayne Lawson,recruit,QB,5.6,3,ILL,BIG10,2017
Louis Dorsey,recruit,WR,5.4,2,ILL,BIG10,2017
Ra'Von Bonner,recruit,RB,5.5,3,ILL,BIG10,2017
Peyton Hendershot,recruit,TE,5.4,2,IND,BIG10,2017
Michael Ziemba,recruit,TE,5.4,2,IND,BIG10,2017
De'Angelo Philyor,recruit,WR,5.4,2,IND,BIG10,2017
Nick Tronti,recruit,QB,5.4,2,IND,BIG10,2017
Tyrese Fryfogle,recruit,WR,5.3,2,IND,BIG10,2017
Juwan Burgess,recruit,ATH,5.6,3,IND,BIG10,2017
Craig Nelson,recruit,RB,5.3,2,IND,BIG10,2017
Morgan Ellison,recruit,RB,5.6,3,IND,BIG10,2017
Jacob Coons,recruit,TE,5.5,3,IOWA,BIG10,2017
Henry Marchese,recruit,WR,5.4,2,IOWA,BIG10,2017
Brandon Smith,recruit,WR,5.5,3,IOWA,BIG10,2017
Peyton Mansell,recruit,QB,5.7,3,IOWA,BIG10,2017
Ihmir Smith-Marsette,recruit,ATH,5.5,3,IOWA,BIG10,2017
Ivory Kelly-Martin,recruit,RB,5.6,3,IOWA,BIG10,2017
Max Cooper,recruit,WR,5.4,2,IOWA,BIG10,2017
Nate Wieland,recruit,ATH,5.3,2,IOWA,BIG10,2017
Kyshaun Bryan,recruit,RB,5.7,3,IOWA,BIG10,2017
Tahj Capehart,recruit,ATH,5.8,4,MYLD,BIG10,2017
Tayon Fleet-Davis,recruit,RB,5.7,3,MYLD,BIG10,2017
Brandon Gaddy,recruit,ATH,5.7,3,MYLD,BIG10,2017
Andrew Park,recruit,TE,5.5,3,MYLD,BIG10,2017
Jayden Comma,recruit,WR,5.6,3,MYLD,BIG10,2017
Sean Nelson,recruit,WR,5.6,3,MYLD,BIG10,2017
Carlos Carriere,recruit,WR,5.6,3,MYLD,BIG10,2017
MJ Jarrell,recruit,WR,5.4,2,MYLD,BIG10,2017
Javon Leake,recruit,RB,5.7,3,MYLD,BIG10,2017
Jalen Browder,recruit,ATH,5.6,3,MYLD,BIG10,2017
Kasim Hill,recruit,QB,5.9,4,MYLD,BIG10,2017
Anthony McFarland,recruit,RB,5.9,4,MYLD,BIG10,2017
Dylan McCaffrey,recruit,QB,5.9,4,MICH,BIG10,2017
Nico Collins,recruit,WR,5.9,4,MICH,BIG10,2017
Oliver Martin,recruit,WR,5.8,4,MICH,BIG10,2017
Kurt Taylor,recruit,RB,5.4,2,MICH,BIG10,2017
Tarik Black,recruit,WR,5.9,4,MICH,BIG10,2017
Donovan Peoples-Jones,recruit,WR,6.1,5,MICH,BIG10,2017
Brad Hawkins,recruit,WR,5.8,4,MICH,BIG10,2017
O'maury Samuels,recruit,RB,5.8,4,MICH,BIG10,2017
C.J. Hayes,recruit,ATH,5.5,3,MIST,BIG10,2017
Rocky Lombardi,recruit,QB,5.6,3,MIST,BIG10,2017
Cody White,recruit,WR,5.7,3,MIST,BIG10,2017
Jack Camper,recruit,TE,5.5,3,MIST,BIG10,2017
Weston Bridges,recruit,RB,5.6,3,MIST,BIG10,2017
Darien Clemons,recruit,ATH,5.5,3,MIST,BIG10,2017
Hunter Rison,recruit,WR,5.8,4,MIST,BIG10,2017
Connor Heyward,recruit,ATH,5.5,3,MIST,BIG10,2017
Matt Dotson,recruit,TE,5.9,4,MIST,BIG10,2017
Laress Nelson,recruit,WR,5.4,2,MIST,BIG10,2017
Dominik London,recruit,RB,5.4,2,MINN,BIG10,2017
Demetrius Douglas,recruit,ATH,5.6,3,MINN,BIG10,2017
Jake Paulson,recruit,TE,5.6,3,MINN,BIG10,2017
Neil McLaurin,recruit,QB,5.3,2,MINN,BIG10,2017
Nathan Bursch,recruit,TE,5.4,2,MINN,BIG10,2017
Tanner Morgan,recruit,QB,5.5,3,MINN,BIG10,2017
Nate Umlor,recruit,TE,5.5,3,MINN,BIG10,2017
Harry Van Dyne,recruit,WR,5.4,2,MINN,BIG10,2017
Christopher Bell,recruit,WR,5.6,3,MINN,BIG10,2017
Reyondous Estes,recruit,QB,5.4,2,MINN,BIG10,2017
Mohamed Ibrahim,recruit,RB,5.7,3,MINN,BIG10,2017
Tyjon Lindsey,recruit,WR,6.0,4,NEB,BIG10,2017
Jaylin Bradley,recruit,RB,5.5,3,NEB,BIG10,2017
Ben Miles,recruit,RB,5.5,3,NEB,BIG10,2017
Kurt Rafdal,recruit,TE,5.6,3,NEB,BIG10,2017
Austin Allen,recruit,TE,5.6,3,NEB,BIG10,2017
Tristan Gebbia,recruit,QB,5.9,4,NEB,BIG10,2017
Keyshawn Johnson Jr.,recruit,WR,5.8,4,NEB,BIG10,2017
Jaevon McQuitty,recruit,WR,5.8,4,NEB,BIG10,2017
Trey Pugh,recruit,TE,5.7,3,NWU,BIG10,2017
Kyric McGowan,recruit,RB,5.5,3,NWU,BIG10,2017
Andrew Marty,recruit,QB,5.4,2,NWU,BIG10,2017
Berkeley Holman,recruit,WR,5.5,3,NWU,BIG10,2017
Jace James,recruit,WR,5.6,3,NWU,BIG10,2017
Trevon Grimes,recruit,WR,6.1,5,OSU,BIG10,2017
Brendon White,recruit,ATH,5.9,4,OSU,BIG10,2017
Jaylen Harris,recruit,WR,5.8,4,OSU,BIG10,2017
J.K. Dobbins,recruit,RB,6.0,4,OSU,BIG10,2017
Tate Martell,recruit,QB,6.0,4,OSU,BIG10,2017
Elijah Gardiner,recruit,WR,5.6,3,OSU,BIG10,2017
Griffin Alstott,recruit,QB,5.3,2,PUR,BIG10,2017
Nicholas Sipe,recruit,QB,5.6,3,PUR,BIG10,2017
Tyler Hamilton,recruit,WR,5.5,3,PUR,BIG10,2017
Darius Pittman,recruit,WR,5.5,3,PUR,BIG10,2017
Terry Wright,recruit,WR,5.5,3,PUR,BIG10,2017
D'Jaundrae Edwards,recruit,WR,5.5,3,PUR,BIG10,2017
Isaac Zico,recruit,WR,5.4,2,PUR,BIG10,2017
Keyron Catlett,recruit,ATH,5.4,2,PUR,BIG10,2017
Derrick Barnes,recruit,RB,5.2,2,PUR,BIG10,2017
Tyler Hayek,recruit,ATH,5.4,2,RUT,BIG10,2017
Eddie Lewis,recruit,WR,5.7,3,RUT,BIG10,2017
Naijee Jones,recruit,ATH,5.4,2,RUT,BIG10,2017
Edwin Lopez,recruit,ATH,5.5,3,RUT,BIG10,2017
Shameen Jones,recruit,WR,5.6,3,RUT,BIG10,2017
Everett Wormley,recruit,WR,5.5,3,RUT,BIG10,2017
Tim Barrow,recruit,ATH,5.5,3,RUT,BIG10,2017
Brendan Devera,recruit,RB,5.4,2,RUT,BIG10,2017
Johnathan Lewis,recruit,QB,5.7,3,RUT,BIG10,2017
Bo Melton,recruit,WR,5.8,4,RUT,BIG10,2017
Travis Vokolek,recruit,TE,5.4,2,RUT,BIG10,2017
Elijah Barnwell,recruit,RB,5.4,2,RUT,BIG10,2017
Hunter Hayek,recruit,WR,5.3,2,RUT,BIG10,2017
Raheem Blackshear,recruit,RB,5.4,2,RUT,BIG10,2017
Jake Ferguson,recruit,TE,5.7,3,WIS,BIG10,2017
Scott Nelson,recruit,ATH,5.6,3,WIS,BIG10,2017
Faion Hicks,recruit,ATH,5.6,3,WIS,BIG10,2017
Jonathan Taylor,recruit,RB,5.8,4,WIS,BIG10,2017
Cade Green,recruit,WR,5.7,3,WIS,BIG10,2017
Emmet Perry,recruit,WR,5.6,3,WIS,BIG10,2017
Jack Coan,recruit,QB,5.8,4,WIS,BIG10,2017
Danny Davis,recruit,WR,5.9,4,WIS,BIG10,2017
Danny Vanden Boom,recruit,QB,5.3,2,WIS,BIG10,2017
