name,class,pos,rate,star,school,conf,year
Victor Tucker,recruit,WR,5.4,2,charlotte,CUSA,2017
Cameron Dollar,recruit,WR,5.4,2,charlotte,CUSA,2017
Kameron Duncan,recruit,RB,5.6,3,charlotte,CUSA,2017
Cameron Bent,recruit,ATH,5.4,2,charlotte,CUSA,2017
Ryan  Eachus,recruit,TE,5.2,2,charlotte,CUSA,2017
Mic Roof,recruit,QB,5.4,2,charlotte,CUSA,2017
Chris Phillips,recruit,TE,5.2,2,charlotte,CUSA,2017
Antoine  Shaw,recruit,TE,5.2,2,charlotte,CUSA,2017
Jordan Merrell,recruit,WR,5.4,2,fau,CUSA,2017
DeAndre Johnson,recruit,QB,5.7,3,fau,CUSA,2017
Willie Wright,recruit,WR,5.4,2,fau,CUSA,2017
Tyrek Tisdale,recruit,WR,0.0,0,fau,CUSA,2017
Chase Lasater,recruit,RB,5.5,3,fau,CUSA,2017
DeAndre McNeal,recruit,WR,0.0,0,fau,CUSA,2017
Logan Peterson,recruit,TE,5.4,2,fau,CUSA,2017
Denzel Houston,recruit,QB,5.4,2,fau,CUSA,2017
Noah Curtis,recruit,ATH,5.5,3,fiu,CUSA,2017
Deandre Williams,recruit,WR,5.3,2,fiu,CUSA,2017
Shemar Thornton,recruit,WR,0.0,0,fiu,CUSA,2017
Kaylan Wiggins,recruit,QB,5.4,2,fiu,CUSA,2017
Bryce Singleton,recruit,WR,5.4,2,fiu,CUSA,2017
Jacob White,recruit,WR,5.2,2,fiu,CUSA,2017
Cualan Williams,recruit,WR,5.4,2,latech,CUSA,2017
Jaiden Cole,recruit,ATH,5.6,3,latech,CUSA,2017
George Scott,recruit,WR,5.5,3,latech,CUSA,2017
Griffin Hebert,recruit,WR,5.4,2,latech,CUSA,2017
Elijah Walker,recruit,QB,5.5,3,latech,CUSA,2017
Isaiah Green,recruit,QB,5.6,3,marshall,CUSA,2017
Marcel Williams,recruit,WR,5.4,2,marshall,CUSA,2017
Armani Levias,recruit,TE,5.5,3,marshall,CUSA,2017
Trevaughn Rodriguez,recruit,RB,5.4,2,marshall,CUSA,2017
Janiero Crankfield,recruit,WR,5.6,3,marshall,CUSA,2017
Monterio Hunt,recruit,ATH,5.5,3,marshall,CUSA,2017
DeCavilon Reese,recruit,RB,5.3,2,marshall,CUSA,2017
Sheldon Evans,recruit,RB,5.6,3,marshall,CUSA,2017
Naquan Renalds,recruit,WR,5.4,2,marshall,CUSA,2017
Brenden Knox,recruit,RB,5.3,2,marshall,CUSA,2017
Devin Miller,recruit,TE,5.4,2,marshall,CUSA,2017
Brad Anderson,recruit,ATH,5.4,2,middletennessee,CUSA,2017
Reed Blankenship,recruit,ATH,5.3,2,middletennessee,CUSA,2017
Jimmy Marshall III,recruit,WR,5.3,2,middletennessee,CUSA,2017
Tyrese Johnson,recruit,WR,5.3,2,middletennessee,CUSA,2017
Zeke Cobb,recruit,WR,5.4,2,middletennessee,CUSA,2017
