name,class,pos,rate,star,school,conf,year
Keenan Ellis,recruit,WR,5.3,2,BYU,IND,2017
Bentley Hanshaw,recruit,TE,5.5,3,BYU,IND,2017
Jackson McChesney,recruit,RB,5.6,3,BYU,IND,2017
Isaac Rex,recruit,TE,5.5,3,BYU,IND,2017
Tanner Baker,recruit,TE,5.4,2,BYU,IND,2017
Tariq Buchanan,recruit,WR,5.4,2,BYU,IND,2017
Mason Fakahua,recruit,ATH,5.4,2,BYU,IND,2017
Isaiah Robertson,recruit,ATH,5.8,4,Notre Dame,IND,2017
Avery Davis,recruit,QB,5.7,3,Notre Dame,IND,2017
Cole Kmet,recruit,TE,5.9,4,Notre Dame,IND,2017
Michael Young,recruit,WR,5.7,3,Notre Dame,IND,2017
C.J. Holmes,recruit,RB,5.8,4,Notre Dame,IND,2017
Brock Wright,recruit,TE,6.0,4,Notre Dame,IND,2017
Jafar Armstrong,recruit,WR,5.7,3,Notre Dame,IND,2017
Jordan Genmark Heath,recruit,ATH,5.6,3,Notre Dame,IND,2017
