name,class,pos,rate,star,school,conf,year
D'Marco Jackson,recruit,RB,5.2,2,appalachianstate,MAC,2017
Peyton  Derrick,recruit,QB,5.3,2,appalachianstate,MAC,2017
De'Vonta Smith,recruit,RB,5.3,2,appalachianstate,MAC,2017
Malik Williams,recruit,ATH,5.4,2,appalachianstate,MAC,2017
Jake Henry,recruit,WR,5.4,2,appalachianstate,MAC,2017
Daetrich Harrington,recruit,RB,5.4,2,appalachianstate,MAC,2017
Thomas Hennigan,recruit,WR,5.5,3,appalachianstate,MAC,2017
Tim Frizzell,recruit,ATH,5.2,2,appalachianstate,MAC,2017
Jonathan Adams,recruit,ATH,5.3,2,arkansasstate,MAC,2017
Aldon Clark,recruit,QB,5.4,2,arkansasstate,MAC,2017
Larry Wooden,recruit,RB,5.4,2,arkansasstate,MAC,2017
Chad Gooden,recruit,ATH,5.3,2,arkansasstate,MAC,2017
Zach Thomas,recruit,QB,5.2,2,arkansasstate,MAC,2017
Keegan Cossou,recruit,TE,5.4,2,centralmichigan,MAC,2017
Charles Jones,recruit,RB,5.3,2,centralmichigan,MAC,2017
Jamezz Kimbrough,recruit,ATH,5.4,2,centralmichigan,MAC,2017
Troy Brown,recruit,WR,5.5,3,centralmichigan,MAC,2017
Bernhard Raimann,recruit,TE,5.2,2,centralmichigan,MAC,2017
JaCorey Sullivan,recruit,WR,5.4,2,centralmichigan,MAC,2017
Julian Hicks,recruit,WR,5.3,2,centralmichigan,MAC,2017
Drayton Law,recruit,WR,5.6,3,centralmichigan,MAC,2017
Jack Combs,recruit,WR,5.2,2,centralmichigan,MAC,2017
Ty Henderson,recruit,WR,5.2,2,centralmichigan,MAC,2017
Darius Bracy,recruit,ATH,5.4,2,centralmichigan,MAC,2017
Isaac Vance,recruit,RB,5.3,2,kentstate,MAC,2017
Rodley Jolicoeur,recruit,ATH,5.4,2,kentstate,MAC,2017
Xavier Williams,recruit,RB,5.2,2,kentstate,MAC,2017
Kesean Gamble,recruit,RB,5.2,2,kentstate,MAC,2017
Dustin Crum,recruit,QB,5.2,2,kentstate,MAC,2017
Will Phillis,recruit,QB,5.2,2,kentstate,MAC,2017
Jonathan Moore,recruit,RB,5.4,2,kentstate,MAC,2017
Donte Ross,recruit,WR,5.2,2,kentstate,MAC,2017
Nathan Monnin,recruit,TE,5.2,2,kentstate,MAC,2017
Raymond James,recruit,ATH,5.2,2,kentstate,MAC,2017
Xander Yarberough,recruit,TE,5.4,2,newmexicostate,MAC,2017
Josh Adkins,recruit,QB,5.4,2,newmexicostate,MAC,2017
Jeremy Hodge,recruit,QB,5.4,2,newmexicostate,MAC,2017
Josh Foley,recruit,RB,5.2,2,newmexicostate,MAC,2017
Gaven Swinson,recruit,WR,5.2,2,newmexicostate,MAC,2017
Jaylon Mascorro,recruit,ATH,5.5,3,newmexicostate,MAC,2017
Jaylin Nelson,recruit,ATH,5.4,2,texasstate,MAC,2017
Kordell Rodgers,recruit,ATH,5.4,2,texasstate,MAC,2017
Kishawn Kelley,recruit,QB,5.4,2,texasstate,MAC,2017
Jeremiah Haydel,recruit,WR,5.4,2,texasstate,MAC,2017
Willie Jones,recruit,QB,5.4,2,texasstate,MAC,2017
Caleb Twyford,recruit,WR,5.2,2,texasstate,MAC,2017
Jaylen Gipson,recruit,QB,5.5,3,texasstate,MAC,2017
Anthony Smith,recruit,RB,5.5,3,texasstate,MAC,2017
Tyler Robinson,recruit,WR,5.4,2,texasstate,MAC,2017
Damian Williams,recruit,QB,5.2,2,texasstate,MAC,2017
T.J. Bedford,recruit,WR,5.2,2,texasstate,MAC,2017
Elijah Rogers,recruit,TE,0.0,0,texasstate,MAC,2017
Dakari Carter,recruit,WR,5.3,2,toledo,MAC,2017
Bryce Mitchell,recruit,WR,5.3,2,toledo,MAC,2017
Caleb Martin,recruit,QB,5.4,2,toledo,MAC,2017
Nick Kovacs,recruit,WR,5.4,2,toledo,MAC,2017
Drew Rosi,recruit,TE,5.5,3,toledo,MAC,2017
Nicholas Sims,recruit,RB,5.2,2,toledo,MAC,2017
Darius Corbett,recruit,WR,5.3,2,toledo,MAC,2017
Jamal Turner,recruit,TE,5.2,2,toledo,MAC,2017
Marcus Jones,recruit,ATH,5.5,3,troy,MAC,2017
Luke Whittemore,recruit,WR,5.4,2,troy,MAC,2017
Shon'Derious Spralling,recruit,WR,5.3,2,troy,MAC,2017
Damion Willis,recruit,WR,5.4,2,troy,MAC,2017
Terence Dunlap,recruit,RB,5.4,2,troy,MAC,2017
Brett Clark,recruit,WR,5.3,2,troy,MAC,2017
Bubba Johnson,recruit,WR,5.2,2,troy,MAC,2017
DK Billingsley,recruit,RB,5.2,2,troy,MAC,2017
C.J. Fletcher,recruit,WR,5.4,2,ulm,MAC,2017
Bryant Badie,recruit,ATH,5.3,2,ulm,MAC,2017
Zachari Jackson,recruit,WR,5.4,2,ulm,MAC,2017
Javin Myers,recruit,RB,5.4,2,ulm,MAC,2017
Jakyle Holmes,recruit,RB,5.5,3,ulm,MAC,2017
Sloan Spiller,recruit,TE,5.2,2,ulm,MAC,2017
Tajhnick Bishop,recruit,ATH,5.3,2,ulm,MAC,2017
Luke Sanders,recruit,WR,5.5,3,westernmichigan,MAC,2017
Prince Walker,recruit,RB,5.4,2,westernmichigan,MAC,2017
Reece Goddard,recruit,QB,5.4,2,westernmichigan,MAC,2017
Tyron Arnett,recruit,WR,5.3,2,westernmichigan,MAC,2017
Ryan Lezzer,recruit,ATH,5.2,2,westernmichigan,MAC,2017
Jaylen Hall,recruit,WR,5.2,2,westernmichigan,MAC,2017
