name,class,pos,rate,star,school,conf,year
Drake Beasley,recruit,RB,5.6,3,Boise,MWC,2017
Kekaula Kaniho,recruit,ATH,5.5,3,Boise,MWC,2017
Cartrell Thomas,recruit,WR,5.6,3,Boise,MWC,2017
Rathen Ricedorff,recruit,QB,5.3,2,Boise,MWC,2017
Octavius Evans,recruit,WR,5.7,3,Boise,MWC,2017
Damon Cole,recruit,ATH,5.5,3,Boise,MWC,2017
Chase Cord,recruit,QB,5.6,3,Boise,MWC,2017
Warren Jackson,recruit,WR,5.5,3,Colorado State,MWC,2017
Cameron Butler,recruit,TE,5.4,2,Colorado State,MWC,2017
Griffin Hammer,recruit,TE,5.5,3,Colorado State,MWC,2017
Jadon Walker,recruit,ATH,5.5,3,Colorado State,MWC,2017
Darius Wise,recruit,RB,5.4,2,Colorado State,MWC,2017
Marcus McElroy,recruit,RB,5.5,3,Colorado State,MWC,2017
Justice McCoy,recruit,QB,5.5,3,Colorado State,MWC,2017
Patrick Jeune,recruit,WR,5.2,2,Fresno,MWC,2017
Ronnie Rivers,recruit,RB,5.4,2,Fresno,MWC,2017
Gunner Javernick,recruit,TE,5.4,2,Fresno,MWC,2017
Jordan Mims,recruit,RB,5.3,2,Fresno,MWC,2017
Chris Coleman,recruit,ATH,5.3,2,Fresno,MWC,2017
Nate Jones,recruit,RB,5.3,2,Fresno,MWC,2017
Jorge Reyna,recruit,QB,5.4,2,Fresno,MWC,2017
Namani Parker,recruit,WR,5.4,2,Fresno,MWC,2017
Daniel Moraga,recruit,TE,5.4,2,Fresno,MWC,2017
Zane Pope,recruit,WR,5.4,2,Fresno,MWC,2017
Brian Burt,recruit,RB,5.2,2,Fresno,MWC,2017
Damien DeGruy,recruit,TE,5.4,2,Fresno,MWC,2017
Aaron Mosby,recruit,ATH,5.4,2,Fresno,MWC,2017
Derrion Grim,recruit,WR,5.5,3,Fresno,MWC,2017
K.C. Cureton,recruit,QB,5.5,3,Nevada,MWC,2017
Austin Arnold,recruit,WR,5.5,3,Nevada,MWC,2017
Benjamin Goodwin,recruit,WR,5.2,2,Nevada,MWC,2017
Ian Zamudio,recruit,ATH,5.2,2,Nevada,MWC,2017
Berdale Robins,recruit,ATH,5.2,2,Nevada,MWC,2017
Tyson Williams,recruit,ATH,5.6,3,Nevada,MWC,2017
Elijah Cooks,recruit,WR,5.2,2,Nevada,MWC,2017
McLane Mannix,recruit,ATH,5.3,2,Nevada,MWC,2017
Mar'quette Jackson,recruit,ATH,5.2,2,Nevada,MWC,2017
Griffin Dahn,recruit,QB,0.0,0,Nevada,MWC,2017
Bryson Carroll,recruit,ATH,5.4,2,New Mexico,MWC,2017
Cameron Burston,recruit,QB,5.6,3,New Mexico,MWC,2017
Marcus Hayes,recruit,ATH,5.4,2,New Mexico,MWC,2017
Marcus Williams,recruit,TE,5.2,2,New Mexico,MWC,2017
Mark Salazar,recruit,QB,5.3,2,San Diego,MWC,2017
Chance Bell,recruit,RB,5.5,3,San Diego,MWC,2017
Ethan Dedeaux,recruit,WR,5.5,3,San Diego,MWC,2017
Isaiah Richardson,recruit,WR,5.4,2,San Diego,MWC,2017
Cam Roane,recruit,QB,5.5,3,San Diego,MWC,2017
Shane Coleman,recruit,TE,5.5,3,San Diego,MWC,2017
Kaegun Williams,recruit,RB,5.7,3,San Diego,MWC,2017
Kyre Richardson,recruit,WR,5.3,2,San Diego,MWC,2017
Fred Trevillion,recruit,WR,5.2,2,San Diego,MWC,2017
Marckell Grayson,recruit,QB,5.4,2,UNLV,MWC,2017
Jamaal Neal,recruit,WR,5.3,2,UNLV,MWC,2017
Noah Bean,recruit,WR,5.4,2,UNLV,MWC,2017
Tariq Hollandsworth,recruit,RB,5.4,2,UNLV,MWC,2017
Drew Tejchman,recruit,ATH,5.5,3,UNLV,MWC,2017
Jeremy Clark,recruit,TE,5.3,2,UNLV,MWC,2017
C.J. Coldon,recruit,WR,5.5,3,Wyoming,MWC,2017
Esaias Gandy,recruit,ATH,5.2,2,Wyoming,MWC,2017
Xazavian Valladay,recruit,RB,5.2,2,Wyoming,MWC,2017
Trey Dorfner,recruit,ATH,5.3,2,Wyoming,MWC,2017
Trey Woods,recruit,RB,5.3,2,Wyoming,MWC,2017
Tyler Vander Waal,recruit,QB,5.5,3,Wyoming,MWC,2017
Avante Cox,recruit,WR,5.4,2,Wyoming,MWC,2017
Nate Weinman,recruit,TE,5.3,2,Wyoming,MWC,2017
Jared Scott,recruit,WR,5.4,2,Wyoming,MWC,2017
Erik Renfroe,recruit,WR,5.3,2,Wyoming,MWC,2017
