name,class,pos,rate,star,school,conf,year
Nathan Tilford,recruit,ATH,5.9,4,ARZ,PAC12,2017
Bryce Wolma,recruit,TE,5.6,3,ARZ,PAC12,2017
Bryce Gilbert,recruit,WR,5.6,3,ARZ,PAC12,2017
Rhett Rodriguez,recruit,QB,5.5,3,ARZ,PAC12,2017
Brian Casteel,recruit,WR,5.5,3,ARZ,PAC12,2017
Drew Dixon,recruit,ATH,5.8,4,ARZ,PAC12,2017
Tony Wallace,recruit,ATH,5.5,3,ARZ,PAC12,2017
Gary Brightwell,recruit,RB,5.6,3,ARZ,PAC12,2017
K'Hari Lane,recruit,QB,5.2,2,ARZ,PAC12,2017
Tyler Johnson,recruit,ATH,5.9,4,AZST,PAC12,2017
Ryan Kelley,recruit,QB,5.8,4,AZST,PAC12,2017
Trelon Smith,recruit,RB,5.7,3,AZST,PAC12,2017
Curtis Hodges,recruit,WR,5.5,3,AZST,PAC12,2017
Eno Benjamin,recruit,RB,5.9,4,AZST,PAC12,2017
Mark Walton,recruit,TE,5.4,2,AZST,PAC12,2017
Ceejhay French-Love,recruit,TE,0.0,0,AZST,PAC12,2017
Chase Garbers,recruit,QB,5.8,4,CAL,PAC12,2017
Elijah Hicks,recruit,ATH,5.8,4,CAL,PAC12,2017
Biaggio Ali-Walsh,recruit,RB,5.7,3,CAL,PAC12,2017
Taariq Johnson,recruit,WR,5.7,3,CAL,PAC12,2017
Jeremiah Hawkins,recruit,ATH,5.6,3,CAL,PAC12,2017
Ben Moos,recruit,TE,5.5,3,CAL,PAC12,2017
Daniel Scott,recruit,ATH,5.4,2,CAL,PAC12,2017
Gavin Reinwald,recruit,TE,5.3,2,CAL,PAC12,2017
Tyler Lytle,recruit,QB,5.6,3,COL,PAC12,2017
Maurice Bell,recruit,WR,5.6,3,COL,PAC12,2017
Sebastian Olver,recruit,ATH,5.5,3,COL,PAC12,2017
Alex Fontenot,recruit,RB,5.6,3,COL,PAC12,2017
K.D. Nixon,recruit,WR,5.8,4,COL,PAC12,2017
Jared Poplawski,recruit,TE,5.7,3,COL,PAC12,2017
Laviska Shenault,recruit,WR,5.6,3,COL,PAC12,2017
Jaylon Jackson,recruit,WR,5.5,3,COL,PAC12,2017
Darrian Felix,recruit,RB,5.5,3,oregon,PAC12,2017
Jaylon Redd,recruit,ATH,5.9,4,oregon,PAC12,2017
CJ Verdell,recruit,RB,5.5,3,oregon,PAC12,2017
Nick Pickett,recruit,ATH,5.6,3,oregon,PAC12,2017
Cyrus Habibi-Likio,recruit,RB,5.6,3,oregon,PAC12,2017
Johnny Johnson III,recruit,WR,5.5,3,oregon,PAC12,2017
Deommodore Lenoir,recruit,ATH,6.0,4,oregon,PAC12,2017
Darrian McNeal,recruit,ATH,5.5,3,oregon,PAC12,2017
Braxton Burmeister,recruit,QB,5.8,4,oregon,PAC12,2017
Demetri Burch,recruit,ATH,5.6,3,oregon,PAC12,2017
Daewood Davis,recruit,WR,5.5,3,oregon,PAC12,2017
Bruce Judson,recruit,ATH,5.8,4,oregon,PAC12,2017
Arex Flemings,recruit,WR,5.5,3,oregon state,PAC12,2017
Kaleb Hayes,recruit,ATH,5.5,3,oregon state,PAC12,2017
Quantino Allen,recruit,ATH,5.5,3,oregon state,PAC12,2017
Aidan Willard,recruit,QB,5.5,3,oregon state,PAC12,2017
Kolby Taylor,recruit,WR,5.7,3,oregon state,PAC12,2017
Jake Luton,recruit,QB,5.6,3,oregon state,PAC12,2017
Aaron Short,recruit,WR,5.4,2,oregon state,PAC12,2017
Isaiah Hodgins,recruit,WR,5.9,4,oregon state,PAC12,2017
Kesi Ah-Hoy,recruit,RB,5.5,3,oregon state,PAC12,2017
Calvin Tyler,recruit,RB,5.7,3,oregon state,PAC12,2017
B.J. Baylor,recruit,RB,5.4,2,oregon state,PAC12,2017
Trajon Cotton,recruit,ATH,5.6,3,oregon state,PAC12,2017
Osiris St. Brown,recruit,WR,5.9,4,stanford,PAC12,2017
Tucker Fisk,recruit,TE,5.7,3,stanford,PAC12,2017
Colby Parkinson,recruit,TE,6.0,4,stanford,PAC12,2017
Connor Wedington,recruit,ATH,5.9,4,stanford,PAC12,2017
Saiid Adebo,recruit,ATH,5.8,4,stanford,PAC12,2017
Davis Mills,recruit,QB,6.1,5,stanford,PAC12,2017
Sione Lund,recruit,ATH,5.9,4,stanford,PAC12,2017
Austin Burton,recruit,QB,5.5,3,UCLA,PAC12,2017
Moses Robinson-Carr,recruit,TE,5.7,3,UCLA,PAC12,2017
Morrell Osling III,recruit,ATH,5.6,3,UCLA,PAC12,2017
Jimmy Jaggers,recruit,TE,5.8,4,UCLA,PAC12,2017
Josh Falo,recruit,TE,5.8,4,USC,PAC12,2017
Stephen Carr,recruit,RB,6.0,4,USC,PAC12,2017
