name,class,pos,rate,star,school,conf,year
Alec Pierce,recruit,WR,5.5,3,Cincinnati,AAC,2018
Meechi Harris,recruit,WR,5.7,3,Cincinnati,AAC,2018
Tavion Thomas,recruit,RB,5.8,4,Cincinnati,AAC,2018
Jayshon Jackson,recruit,ATH,5.5,3,Cincinnati,AAC,2018
Ja'Von Hicks,recruit,ATH,5.5,3,Cincinnati,AAC,2018
Ben Bryant,recruit,QB,5.6,3,Cincinnati,AAC,2018
Ryan Montgomery,recruit,RB,5.5,3,Cincinnati,AAC,2018
Dylan OQuinn,recruit,TE,5.4,2,Cincinnati,AAC,2018
Josh Whyle,recruit,TE,5.7,3,Cincinnati,AAC,2018
Oneil Robinson,recruit,WR,5.4,2,UConn,AAC,2018
Heron Maurisseau,recruit,WR,5.3,2,UConn,AAC,2018
Elijah Jeffreys,recruit,WR,5.2,2,UConn,AAC,2018
Dante Black,recruit,RB,5.5,3,UConn,AAC,2018
Khyon Gillespie,recruit,RB,5.2,2,UConn,AAC,2018
Jordan Morrison,recruit,ATH,5.4,2,UConn,AAC,2018
Steve Krajewski,recruit,QB,5.5,3,UConn,AAC,2018
Andre Pegues,recruit,WR,5.3,2,East Carolina,AAC,2018
Juwan Moody,recruit,WR,5.4,2,East Carolina,AAC,2018
Jaren Rainey,recruit,ATH,5.4,2,East Carolina,AAC,2018
Khalil Barrett,recruit,ATH,5.4,2,East Carolina,AAC,2018
Holton Ahlers,recruit,QB,5.7,3,East Carolina,AAC,2018
Ja'Kori Morgan,recruit,WR,5.6,3,Houston,AAC,2018
Henry Thomas,recruit,WR,5.4,2,Houston,AAC,2018
Peyton Sawyer,recruit,WR,5.4,2,Houston,AAC,2018
Kelan Walker,recruit,RB,5.7,3,Houston,AAC,2018
Zamar Kirven,recruit,ATH,5.4,2,Houston,AAC,2018
Julon Williams,recruit,ATH,5.6,3,Houston,AAC,2018
Clayton Tune,recruit,QB,5.6,3,Houston,AAC,2018
Christian Trahan,recruit,TE,5.5,3,Houston,AAC,2018
Spencer Wells,recruit,TE,5.5,3,Houston,AAC,2018
Kenneth Gainwell,recruit,WR,5.5,3,Memphis,AAC,2018
Antonio Gibson,recruit,WR,5.6,3,Memphis,AAC,2018
Jeremy Tate,recruit,WR,5.5,3,Memphis,AAC,2018
Troy Hurst,recruit,WR,5.4,2,Memphis,AAC,2018
Anthony Ballard Jr.,recruit,RB,5.2,2,Memphis,AAC,2018
Treysen Neal,recruit,ATH,0,0,Memphis,AAC,2018
Brady McBride,recruit,QB,5.4,2,Memphis,AAC,2018
Cameron Fleming,recruit,RB,5.5,3,Memphis,AAC,2018
Garrett Sapp,recruit,TE,5.3,2,Memphis,AAC,2018
Tyshawn Buckner,recruit,WR,5.2,2,Navy,AAC,2018
David Miller,recruit,WR,5.3,2,Navy,AAC,2018
Jebril Murray,recruit,WR,5.2,2,Navy,AAC,2018
Chance Warren,recruit,WR,5.2,2,Navy,AAC,2018
Collins Woods,recruit,WR,5.4,2,Navy,AAC,2018
Ethan Bibb,recruit,WR,5.2,2,Navy,AAC,2018
Peter Brown,recruit,WR,5.3,2,Navy,AAC,2018
Garrett Houser,recruit,WR,5.2,2,Navy,AAC,2018
Christian Hutchinson,recruit,WR,5.2,2,Navy,AAC,2018
Brendan Mitchell,recruit,WR,5.4,2,Navy,AAC,2018
Samuel Dixon,recruit,RB,5.3,2,Navy,AAC,2018
Michael Mauai,recruit,RB,5.2,2,Navy,AAC,2018
Caleb Grimes,recruit,RB,5.2,2,Navy,AAC,2018
Aubrey Williams,recruit,ATH,5.2,2,Navy,AAC,2018
Keegan Jones,recruit,ATH,5.2,2,Navy,AAC,2018
Brandon Madison,recruit,ATH,5.2,2,Navy,AAC,2018
Ebissa Sambo,recruit,ATH,5.2,2,Navy,AAC,2018
Jordan Cooper,recruit,ATH,5.5,3,Navy,AAC,2018
Perry Olsen,recruit,QB,5.2,2,Navy,AAC,2018
Christian Perez,recruit,QB,5.4,2,Navy,AAC,2018
Steve Steen,recruit,QB,5.3,2,Navy,AAC,2018
Brice Johnson,recruit,QB,5.4,2,Navy,AAC,2018
Carlinos Acie,recruit,RB,5.2,2,Navy,AAC,2018
Brandon Brooks,recruit,RB,5.2,2,Navy,AAC,2018
Isaac Ruoss,recruit,RB,5.2,2,Navy,AAC,2018
Michael Naze,recruit,TE,5.4,2,Navy,AAC,2018
Shakim Douglas,recruit,TE,5.2,2,Navy,AAC,2018
Dexter Manior,recruit,TE,5.2,2,Navy,AAC,2018
Jared Miles,recruit,WR,5.4,2,SMU,AAC,2018
Treveon Johnson,recruit,WR,5.6,3,SMU,AAC,2018
TaMerik Williams,recruit,RB,5.5,3,SMU,AAC,2018
Conner Allen,recruit,ATH,5.2,2,SMU,AAC,2018
Jimmy Phillips Jr,recruit,ATH,5.5,3,SMU,AAC,2018
William Brown,recruit,QB,5.5,3,SMU,AAC,2018
Ben Redding,recruit,TE,5.4,2,SMU,AAC,2018
Jordan  Smith,recruit,WR,5.4,2,Temple,AAC,2018
Jose Barbon,recruit,WR,5.3,2,Temple,AAC,2018
Sean Ryan,recruit,WR,5.5,3,Temple,AAC,2018
Ronnie Stevenson,recruit,WR,5.3,2,Temple,AAC,2018
David Martin Robinson,recruit,WR,5.4,2,Temple,AAC,2018
Kadas Reams,recruit,WR,5.4,2,Temple,AAC,2018
Onasis Neely,recruit,RB,5.4,2,Temple,AAC,2018
Travon King,recruit,ATH,5.6,3,Temple,AAC,2018
Amir Gillis,recruit,ATH,5.5,3,Temple,AAC,2018
