name,class,pos,rate,star,school,conf,year
Zach Williams,recruit,WR,5.6,3,ARZ,PAC12,2018
Jailen Bailey,recruit,WR,5.4,2,ARZ,PAC12,2018
Thomas Marcus,recruit,WR,5.4,2,ARZ,PAC12,2018
Jaden Mitchell,recruit,WR,5.5,3,ARZ,PAC12,2018
Tre Adams,recruit,WR,5.6,3,ARZ,PAC12,2018
Kevin Doyle,recruit,QB,5.6,3,ARZ,PAC12,2018
Jamarye Joiner,recruit,QB,5.7,3,ARZ,PAC12,2018
Darrius Smith,recruit,RB,5.5,3,ARZ,PAC12,2018
Jake Peters,recruit,TE,5.5,3,ARZ,PAC12,2018
Brandon Aiyuk,recruit,WR,5.4,2,AZST,PAC12,2018
Geordon Porter,recruit,WR,5.7,3,AZST,PAC12,2018
Demetrious Flowers,recruit,RB,5.6,3,AZST,PAC12,2018
AJ Carter,recruit,RB,5.6,3,AZST,PAC12,2018
Brock Sturges,recruit,RB,5.7,3,AZST,PAC12,2018
Isaiah Floyd,recruit,RB,5.5,3,AZST,PAC12,2018
Nikko Remigio,recruit,WR,5.8,4,CAL,PAC12,2018
Christopher Brown Jr.,recruit,RB,5.7,3,CAL,PAC12,2018
Johnny Adams,recruit,RB,5.7,3,CAL,PAC12,2018
McCallan Castles,recruit,TE,5.7,3,CAL,PAC12,2018
Dylan Thomas,recruit,WR,5.7,3,COL,PAC12,2018
Daniel Arias,recruit,WR,5.7,3,COL,PAC12,2018
Dimitri Stanley,recruit,ATH,5.6,3,COL,PAC12,2018
Blake Stenstrom,recruit,QB,5.6,3,COL,PAC12,2018
Deion Smith,recruit,RB,5.6,3,COL,PAC12,2018
Jarek Broussard,recruit,RB,5.5,3,COL,PAC12,2018
Darrion Jones,recruit,TE,5.6,3,COL,PAC12,2018
Jalen Hall,recruit,WR,5.9,4,oregon,PAC12,2018
J.J. Tucker,recruit,WR,5.5,3,oregon,PAC12,2018
Isaah Crocker,recruit,WR,5.9,4,oregon,PAC12,2018
Travis Dye,recruit,RB,5.5,3,oregon,PAC12,2018
M.J. Cunningham,recruit,ATH,5.7,3,oregon,PAC12,2018
Tyler Shough,recruit,QB,5.9,4,oregon,PAC12,2018
Jamal Currie-Elliott,recruit,RB,5.8,4,oregon,PAC12,2018
Spencer Webb,recruit,TE,5.8,4,oregon,PAC12,2018
I'Shawn Stewart,recruit,WR,5.5,3,oregon state,PAC12,2018
Kase Rogers,recruit,WR,5.4,2,oregon state,PAC12,2018
Jesiah Irish,recruit,WR,5.4,2,oregon state,PAC12,2018
Jermar Jefferson,recruit,RB,5.5,3,oregon state,PAC12,2018
Bradley Bickler,recruit,ATH,5.5,3,oregon state,PAC12,2018
Matthew Tago,recruit,ATH,5.6,3,oregon state,PAC12,2018
Isaiah Tufaga,recruit,ATH,5.5,3,oregon state,PAC12,2018
Jack Colletto,recruit,QB,5.4,2,oregon state,PAC12,2018
