name,class,pos,rate,star,school,conf,year
Ja'Quan Sheppard,recruit,WR,5.5,3,Cincinnati,AAC,2019
Deumbre Ginyard,recruit,WR,0.0,0,Cincinnati,AAC,2019
Tre Tucker,recruit,WR,5.5,3,Cincinnati,AAC,2019
Dorian Holloway,recruit,ATH,5.4,2,Cincinnati,AAC,2019
Cameron Jones,recruit,ATH,5.8,4,Cincinnati,AAC,2019
Michael Lindauer,recruit,QB,5.4,2,Cincinnati,AAC,2019
Cameron Ross,recruit,WR,5.4,2,UConn,AAC,2019
Malik Dixon,recruit,WR,5.4,2,UConn,AAC,2019
Jayce Medlock,recruit,WR,5.4,2,UConn,AAC,2019
Jackson Mitchell,recruit,WR,5.4,2,UConn,AAC,2019
Matt Drayton,recruit,WR,5.5,3,UConn,AAC,2019
Winston Jules,recruit,ATH,5.2,2,UConn,AAC,2019
Kevens Clercius,recruit,ATH,5.2,2,UConn,AAC,2019
Jack Zergiotis,recruit,QB,5.3,2,UConn,AAC,2019
C.J. Johnson,recruit,WR,5.5,3,East Carolina,AAC,2019
Juan  Powell,recruit,ATH,5.4,2,East Carolina,AAC,2019
Jsi Hatfield,recruit,ATH,5.3,2,East Carolina,AAC,2019
Demetrius Mauney,recruit,ATH,5.5,3,East Carolina,AAC,2019
Alex Flinn,recruit,QB,5.2,2,East Carolina,AAC,2019
Bryan Gagg,recruit,QB,5.5,3,East Carolina,AAC,2019
Zech Byrd,recruit,TE,5.3,2,East Carolina,AAC,2019
Ke'Andre Street,recruit,WR,5.5,3,Houston,AAC,2019
Terrell Brown,recruit,RB,5.5,3,Houston,AAC,2019
Cameron Baker,recruit,WR,5.5,3,Memphis,AAC,2019
Tahj Washington,recruit,WR,5.4,2,Memphis,AAC,2019
Javon Ivory,recruit,WR,5.4,2,Memphis,AAC,2019
Rodrigues Clark,recruit,RB,5.5,3,Memphis,AAC,2019
Jashon Watkins,recruit,ATH,5.5,3,Memphis,AAC,2019
Sheldon Layman,recruit,QB,5.5,3,Memphis,AAC,2019
Drew Martin,recruit,TE,5.5,3,Memphis,AAC,2019
Dylan Jones,recruit,WR,5.2,2,Navy,AAC,2019
Mark Walker,recruit,WR,5.2,2,Navy,AAC,2019
Camari Williams,recruit,WR,5.2,2,Navy,AAC,2019
Zachary Kuhlman,recruit,WR,5.2,2,Navy,AAC,2019
John Marshall,recruit,WR,5.3,2,Navy,AAC,2019
Adrion Taylor,recruit,RB,5.4,2,Navy,AAC,2019
Joshua Pruitt,recruit,RB,0.0,0,Navy,AAC,2019
Kendel Taylor,recruit,RB,5.3,2,Navy,AAC,2019
Mike Jones,recruit,RB,0.0,0,Navy,AAC,2019
Marcus Robinson-Jenkins ,recruit,RB,0.0,0,Navy,AAC,2019
Duke Paane,recruit,ATH,5.2,2,Navy,AAC,2019
Walter Soefker,recruit,ATH,5.2,2,Navy,AAC,2019
Justin Jones,recruit,ATH,5.3,2,Navy,AAC,2019
BJ Gibson,recruit,ATH,5.5,3,Navy,AAC,2019
Tai Lavatai,recruit,QB,5.2,2,Navy,AAC,2019
Jayden Umbarger,recruit,QB,5.4,2,Navy,AAC,2019
Tobias Weaver,recruit,QB,5.3,2,Navy,AAC,2019
Sean Simms,recruit,QB,5.4,2,Navy,AAC,2019
Kai Rojas,recruit,QB,5.4,2,Navy,AAC,2019
Maasai Maynor,recruit,QB,5.4,2,Navy,AAC,2019
Daryon Triche,recruit,RB,5.2,2,Navy,AAC,2019
Daniel  Jones,recruit,RB,0.0,0,Navy,AAC,2019
Colby Jacques,recruit,RB,5.3,2,Navy,AAC,2019
Jared Mead,recruit,TE,0.0,0,Navy,AAC,2019
Keontae Burns,recruit,WR,5.6,3,SMU,AAC,2019
Calvin Wiggins,recruit,WR,5.6,3,SMU,AAC,2019
Rashee Rice,recruit,WR,5.6,3,SMU,AAC,2019
Shamar Johnson,recruit,WR,5.4,2,SMU,AAC,2019
Ulysses Bentley,recruit,RB,5.6,3,SMU,AAC,2019
TJ McDaniel,recruit,ATH,5.5,3,SMU,AAC,2019
Terrance Gipson,recruit,QB,5.6,3,SMU,AAC,2019
Kwesi Evans,recruit,WR,5.5,3,Temple,AAC,2019
De'Von Fox,recruit,WR,5.4,2,Temple,AAC,2019
Re'Mahn Davis,recruit,RB,5.4,2,Temple,AAC,2019
Mahmud Dioubate,recruit,ATH,5.5,3,Temple,AAC,2019
Jordan Magee,recruit,ATH,5.4,2,Temple,AAC,2019
Kennique Bonner-Steward,recruit,QB,5.5,3,Temple,AAC,2019
Jacoby Sharpe,recruit,TE,5.4,2,Temple,AAC,2019
Kiland Harrison,recruit,WR,5.4,2,Tulane,AAC,2019
Ton'Quez Ball,recruit,WR,5.4,2,Tulane,AAC,2019
Jha'Quan Jackson,recruit,WR,5.5,3,Tulane,AAC,2019
Tyrek Presley,recruit,WR,5.4,2,Tulane,AAC,2019
Tyjae Spears,recruit,RB,5.5,3,Tulane,AAC,2019
Jacquez Norman,recruit,RB,5.3,2,Tulane,AAC,2019
Keshon Williams,recruit,ATH,5.5,3,Tulane,AAC,2019
Conner Richardson,recruit,TE,5.3,2,Tulane,AAC,2019
La'Darrion Florez,recruit,WR,5.3,2,Tulsa,AAC,2019
Korey King,recruit,WR,5.4,2,Tulsa,AAC,2019
Trey Collier,recruit,ATH,5.3,2,Tulsa,AAC,2019
Chris Lovick,recruit,RB,5.4,2,Tulsa,AAC,2019
Denzel Carter,recruit,TE,5.5,3,Tulsa,AAC,2019
Ethan Hall,recruit,TE,5.4,2,Tulsa,AAC,2019
Justin Menard,recruit,WR,5.5,3,Central Florida,AAC,2019
Amari Johnson,recruit,WR,5.3,2,Central Florida,AAC,2019
Jarrad Baker Jr,recruit,ATH,5.6,3,Central Florida,AAC,2019
Damarius Good,recruit,ATH,5.6,3,Central Florida,AAC,2019
James Tarver,recruit,ATH,5.4,2,Central Florida,AAC,2019
Ryan O'Keefe,recruit,ATH,5.5,3,Central Florida,AAC,2019
Dillon Gabriel,recruit,QB,5.7,3,Central Florida,AAC,2019
