name,class,pos,rate,star,school,conf,year
Micaleous  Elder,recruit,WR,5.3,2,charlotte,CUSA,2019
Tre Goode,recruit,WR,5.2,2,charlotte,CUSA,2019
Noah Henderson,recruit,WR,5.6,3,charlotte,CUSA,2019
Quinton Patten,recruit,ATH,5.3,2,charlotte,CUSA,2019
Rhett Read,recruit,TE,5.4,2,charlotte,CUSA,2019
Jaylan Williams,recruit,TE,5.2,2,charlotte,CUSA,2019
Adrian Bryant,recruit,WR,5.4,2,fau,CUSA,2019
Rahmod  Smith,recruit,WR,5.3,2,fau,CUSA,2019
Eyin Cole,recruit,WR,5.4,2,fau,CUSA,2019
Xavier Roberts,recruit,WR,5.5,3,fau,CUSA,2019
James Meeks,recruit,RB,5.2,2,fau,CUSA,2019
Larry McCammon,recruit,RB,5.5,3,fau,CUSA,2019
Glover Cook,recruit,RB,5.7,3,fau,CUSA,2019
Kelvin Dean Jr,recruit,RB,5.4,2,fau,CUSA,2019
Jadarious Martin,recruit,ATH,5.6,3,fau,CUSA,2019
Cameron Wynn,recruit,ATH,5.5,3,fau,CUSA,2019
Javion  Posey,recruit,ATH,5.2,2,fau,CUSA,2019
Tahveon Nicholson,recruit,ATH,5.2,2,fau,CUSA,2019
Andrew Plummer,recruit,ATH,5.5,3,fau,CUSA,2019
Tye Edwards,recruit,ATH,5.5,3,fau,CUSA,2019
Jeremiah Ashe,recruit,ATH,5.3,2,fau,CUSA,2019
Gio Richardson,recruit,QB,5.4,2,fau,CUSA,2019
Kamareon Williams,recruit,WR,5.4,2,fiu,CUSA,2019
Nate Jefferson,recruit,WR,5.4,2,fiu,CUSA,2019
Kris Mitchell,recruit,WR,5.3,2,fiu,CUSA,2019
Lexington Joseph,recruit,RB,5.6,3,fiu,CUSA,2019
Kendre' Gant,recruit,ATH,5.5,3,fiu,CUSA,2019
Stone Norton,recruit,QB,5.6,3,fiu,CUSA,2019
Joseph Hocker,recruit,TE,5.5,3,fiu,CUSA,2019
Julius Pierce,recruit,TE,5.4,2,fiu,CUSA,2019
Kyle Maxwell,recruit,WR,5.5,3,latech,CUSA,2019
Khiry Morrison,recruit,ATH,5.5,3,latech,CUSA,2019
Charvis Thornton,recruit,ATH,5.6,3,latech,CUSA,2019
Jakson Thomson,recruit,QB,5.5,3,latech,CUSA,2019
Malik Tolbert,recruit,WR,5.5,3,marshall,CUSA,2019
Broc Thompson,recruit,WR,5.3,2,marshall,CUSA,2019
Jeremy Smith,recruit,WR,5.5,3,marshall,CUSA,2019
Rahsul Faison,recruit,RB,5.2,2,marshall,CUSA,2019
Cedrick Wilcox,recruit,RB,5.4,2,marshall,CUSA,2019
Knowledge McDaniel,recruit,RB,5.5,3,marshall,CUSA,2019
Amir Richardson,recruit,ATH,5.6,3,marshall,CUSA,2019
Maurice Underwood,recruit,QB,5.4,2,marshall,CUSA,2019
Grant Wells,recruit,QB,5.4,2,marshall,CUSA,2019
Zack Leininger,recruit,TE,5.5,3,marshall,CUSA,2019
Jarrin Pierce,recruit,WR,5.4,2,middletennessee,CUSA,2019
Raquon Hartley,recruit,WR,5.3,2,middletennessee,CUSA,2019
Marquel Tinsley,recruit,WR,5.2,2,middletennessee,CUSA,2019
Quincy Riley,recruit,ATH,5.5,3,middletennessee,CUSA,2019
D.J. Chisolm,recruit,ATH,5.5,3,middletennessee,CUSA,2019
Randall Johnson,recruit,QB,5.5,3,middletennessee,CUSA,2019
John McDonald,recruit,RB,5.4,2,middletennessee,CUSA,2019
Kealon Jackson,recruit,WR,5.5,3,northtexas,CUSA,2019
Khatib Lyles,recruit,WR,5.4,2,northtexas,CUSA,2019
Damon Ward,recruit,WR,5.5,3,northtexas,CUSA,2019
Deonte Simpson,recruit,WR,5.4,2,northtexas,CUSA,2019
Oscar  Adaway,recruit,RB,5.4,2,northtexas,CUSA,2019
Leandre Davis,recruit,ATH,5.3,2,northtexas,CUSA,2019
Dorian Morris,recruit,ATH,5.5,3,northtexas,CUSA,2019
