name,class,pos,rate,star,school,conf,year
Raykwon Anderson,recruit,WR,5.5,3,appalachianstate,MAC,2019
KeSean Brown,recruit,RB,5.3,2,appalachianstate,MAC,2019
Jourdan Heilig,recruit,ATH,5.4,2,appalachianstate,MAC,2019
Dashaun Davis,recruit,ATH,5.5,3,appalachianstate,MAC,2019
Emmanuel Jenkins,recruit,ATH,5.5,3,appalachianstate,MAC,2019
Benjamin Williams,recruit,ATH,5.2,2,appalachianstate,MAC,2019
Christian Wells,recruit,ATH,5.4,2,appalachianstate,MAC,2019
David Baldwin,recruit,QB,5.5,3,appalachianstate,MAC,2019
Ricky Kofoed,recruit,TE,5.4,2,appalachianstate,MAC,2019
Aron Whittle,recruit,WR,5.2,2,arkansasstate,MAC,2019
Seth Hayes,recruit,WR,5.4,2,arkansasstate,MAC,2019
Eugene Minter,recruit,WR,5.2,2,arkansasstate,MAC,2019
Kevin Howard,recruit,WR,5.5,3,arkansasstate,MAC,2019
David Clayton,recruit,WR,5.3,2,arkansasstate,MAC,2019
Jefferson Foreman,recruit,WR,5.6,3,arkansasstate,MAC,2019
Isaiah Azubuike,recruit,ATH,5.6,3,arkansasstate,MAC,2019
Zion Hawkins,recruit,ATH,5.2,2,arkansasstate,MAC,2019
Peyton Wright,recruit,QB,5.2,2,arkansasstate,MAC,2019
Coltin Clack,recruit,QB,5.5,3,arkansasstate,MAC,2019
Samy Johnson,recruit,RB,5.4,2,arkansasstate,MAC,2019
Ryan Graham,recruit,RB,5.2,2,arkansasstate,MAC,2019
Darrell Wyatt,recruit,WR,5.4,2,centralmichigan,MAC,2019
Javon Gantt,recruit,WR,5.3,2,centralmichigan,MAC,2019
Josh Crawford,recruit,RB,5.2,2,centralmichigan,MAC,2019
Lew Nichols,recruit,RB,5.6,3,centralmichigan,MAC,2019
Ormondell Dingle,recruit,ATH,5.4,2,centralmichigan,MAC,2019
Kyron McKinnie-Harper,recruit,ATH,5.5,3,centralmichigan,MAC,2019
David Moore,recruit,QB,5.6,3,centralmichigan,MAC,2019
Daniel Richardson,recruit,QB,5.5,3,centralmichigan,MAC,2019
Bryce Childress,recruit,WR,5.6,3,kentstate,MAC,2019
Jaylen DeCoteau,recruit,WR,5.3,2,kentstate,MAC,2019
Keshunn Abram,recruit,WR,0.0,0,kentstate,MAC,2019
Dante Cephas,recruit,WR,5.4,2,kentstate,MAC,2019
Joachim Bangda,recruit,RB,5.7,3,kentstate,MAC,2019
Glenn  Hayes,recruit,ATH,5.4,2,kentstate,MAC,2019
Prince Okituama,recruit,ATH,5.2,2,kentstate,MAC,2019
Collin Schlee,recruit,QB,5.2,2,kentstate,MAC,2019
Bryan Bradford,recruit,RB,5.3,2,kentstate,MAC,2019
Hayden Junker,recruit,TE,5.3,2,kentstate,MAC,2019
Terrell Warner,recruit,WR,5.3,2,newmexicostate,MAC,2019
Jared Wyatt,recruit,WR,5.4,2,newmexicostate,MAC,2019
Robert Downs,recruit,WR,5.2,2,newmexicostate,MAC,2019
Taylor Milton,recruit,WR,5.3,2,newmexicostate,MAC,2019
Juwaun Price,recruit,RB,5.2,2,newmexicostate,MAC,2019
Weston Eget,recruit,QB,5.5,3,newmexicostate,MAC,2019
Micah Hilts,recruit,WR,5.2,2,texasstate,MAC,2019
Kenny Frazier,recruit,WR,5.2,2,texasstate,MAC,2019
DeJordan Mask,recruit,WR,5.3,2,texasstate,MAC,2019
Dylan Jantz,recruit,WR,5.5,3,texasstate,MAC,2019
Calvin	 Hill,recruit,RB,5.4,2,texasstate,MAC,2019
Jalen Wells,recruit,ATH,5.4,2,texasstate,MAC,2019
Cedric Case,recruit,QB,5.3,2,texasstate,MAC,2019
Gresch Jensen,recruit,QB,5.4,2,texasstate,MAC,2019
Najeh Baker,recruit,WR,5.4,2,toledo,MAC,2019
Terrel Ferrell,recruit,WR,5.4,2,toledo,MAC,2019
Chris'Seon Stringer,recruit,WR,5.4,2,toledo,MAC,2019
Micah Kelly,recruit,RB,5.5,3,toledo,MAC,2019
Jerjuan Newton,recruit,ATH,5.6,3,toledo,MAC,2019
Jacquez Stuart,recruit,ATH,5.4,2,toledo,MAC,2019
Adrian Woliver,recruit,ATH,5.2,2,toledo,MAC,2019
Willie Gaines,recruit,ATH,5.5,3,toledo,MAC,2019
Dequan Finn,recruit,QB,5.4,2,toledo,MAC,2019
Justin Stephens,recruit,TE,5.6,3,toledo,MAC,2019
Jaden Warren,recruit,WR,5.2,2,troy,MAC,2019
Kaylon Geiger,recruit,WR,5.4,2,troy,MAC,2019
Reggie Todd,recruit,WR,5.5,3,troy,MAC,2019
Khalil McClain,recruit,WR,5.7,3,troy,MAC,2019
Donovan Curry,recruit,WR,5.4,2,troy,MAC,2019
Tre Ross,recruit,WR,5.4,2,troy,MAC,2019
Jamontez Woods,recruit,RB,5.4,2,troy,MAC,2019
Christian  Murphy,recruit,ATH,5.2,2,troy,MAC,2019
Jacob Free,recruit,QB,5.5,3,troy,MAC,2019
Gavin Screws,recruit,QB,5.2,2,troy,MAC,2019
Chandler Whitfield,recruit,WR,5.3,2,ulm,MAC,2019
Zack  Martin,recruit,RB,5.3,2,ulm,MAC,2019
Zackary Martin,recruit,RB,5.3,2,ulm,MAC,2019
Kadyn Roach,recruit,RB,5.4,2,ulm,MAC,2019
Jordan  Crumpton,recruit,QB,5.4,2,ulm,MAC,2019
Elijah Walker,recruit,QB,5.3,2,ulm,MAC,2019
Donavon Hickman,recruit,TE,5.2,2,ulm,MAC,2019
