name,class,pos,rate,star,school,conf,year
Khyheem Waleed,recruit,WR,5.6,3,Boise,MWC,2019
Shea Whiting,recruit,WR,5.5,3,Boise,MWC,2019
DK Blaylock,recruit,WR,5.6,3,Boise,MWC,2019
George Holani,recruit,RB,5.6,3,Boise,MWC,2019
Keegan Duncan,recruit,RB,5.4,2,Boise,MWC,2019
Casey Kline,recruit,ATH,5.8,4,Boise,MWC,2019
Hank Bachmeier,recruit,QB,5.8,4,Boise,MWC,2019
Kaiden Bennett,recruit,QB,5.5,3,Boise,MWC,2019
Austin Griffin,recruit,TE,5.7,3,Boise,MWC,2019
Dante Wright,recruit,WR,5.3,2,Colorado State,MWC,2019
Ty McCullouch,recruit,WR,5.7,3,Colorado State,MWC,2019
Jaylen Hearst,recruit,WR,5.4,2,Colorado State,MWC,2019
Christian Hunter,recruit,RB,5.2,2,Colorado State,MWC,2019
Tyreese Jackson,recruit,RB,5.6,3,Colorado State,MWC,2019
Keevan Bailey,recruit,ATH,5.6,3,Colorado State,MWC,2019
Kyle Helbig,recruit,TE,5.5,3,Colorado State,MWC,2019
Joshua Kelly,recruit,WR,5.3,2,Fresno,MWC,2019
Keric Wheatfall,recruit,WR,5.3,2,Fresno,MWC,2019
Jamal Glaspie,recruit,WR,5.4,2,Fresno,MWC,2019
Deven Jarvis,recruit,ATH,5.4,2,Fresno,MWC,2019
Reggie Strong,recruit,ATH,5.4,2,Fresno,MWC,2019
Jalen Cropper,recruit,ATH,5.7,3,Fresno,MWC,2019
Nathan Lamb,recruit,QB,5.5,3,Fresno,MWC,2019
Hunter Raquet,recruit,QB,5.2,2,Fresno,MWC,2019
Peyton Dixon,recruit,RB,5.4,2,Fresno,MWC,2019
Raymond Pauwels,recruit,TE,5.3,2,Fresno,MWC,2019
Juan Rodriguez,recruit,TE,5.2,2,Fresno,MWC,2019
Avery Carrington,recruit,ATH,5.3,2,Nevada,MWC,2019
Justin Lockhart,recruit,ATH,5.2,2,Nevada,MWC,2019
Breylon  Garcia,recruit,ATH,5.4,2,Nevada,MWC,2019
Henry Ikahihifo,recruit,ATH,5.5,3,Nevada,MWC,2019
Melquan Stovall,recruit,ATH,5.4,2,Nevada,MWC,2019
Austin Kirksey,recruit,QB,5.5,3,Nevada,MWC,2019
Malik Henry,recruit,QB,5.7,3,Nevada,MWC,2019
Jamaal Bell,recruit,RB,5.5,3,Nevada,MWC,2019
Emmanuel Logan-Greene,recruit,WR,0.0,2,New Mexico,MWC,2019
Jordan Kress,recruit,WR,5.3,2,New Mexico,MWC,2019
Chad Alexander,recruit,RB,5.4,2,New Mexico,MWC,2019
Tye Moore,recruit,ATH,5.2,2,New Mexico,MWC,2019
Aiden Kneller,recruit,ATH,5.3,2,New Mexico,MWC,2019
Brandt Hughes,recruit,QB,5.5,3,New Mexico,MWC,2019
Kyle Jarvis,recruit,TE,5.2,2,New Mexico,MWC,2019
Dominic Benson,recruit,WR,0.0,0,San Diego,MWC,2019
Justin Dinka,recruit,RB,5.5,3,San Diego,MWC,2019
Patrick McMorris,recruit,RB,5.2,2,San Diego,MWC,2019
Brionne Penny,recruit,ATH,5.5,3,San Diego,MWC,2019
Joe Green,recruit,QB,5.2,2,San Diego,MWC,2019
Jordon Brookshire,recruit,QB,5.5,3,San Diego,MWC,2019
Noah Tumblin,recruit,QB,5.4,2,San Diego,MWC,2019
Anthony Landphere,recruit,TE,5.4,2,San Diego,MWC,2019
Jeffrey Blake,recruit,TE,5.5,3,San Diego,MWC,2019
Malik	 Wesley,recruit,WR,5.3,2,UNLV,MWC,2019
Steve Jenkins,recruit,WR,5.4,2,UNLV,MWC,2019
Courtney Reese,recruit,RB,5.3,2,UNLV,MWC,2019
Sir Oliver Everett,recruit,ATH,5.3,2,UNLV,MWC,2019
Travis Mumphrey,recruit,QB,5.6,3,UNLV,MWC,2019
