name,class,pos,rate,star,school,conf,year
Jaden Williams,recruit,WR,5.4,2,Boston,ACC,2021
Lewis Bond,recruit,WR,5.5,3,Boston,ACC,2021
Dante Reynolds,recruit,WR,5.5,3,Boston,ACC,2021
Jaylen  Blackwell,recruit,RB,5.4,2,Boston,ACC,2021
Jamareeh Jones,recruit,ATH,5.5,3,Boston,ACC,2021
Emmett Morehead,recruit,QB,5.5,3,Boston,ACC,2021
Xavier Coleman,recruit,RB,5.6,3,Boston,ACC,2021
Will Taylor,recruit,WR,5.5,3,Clemson,ACC,2021
Troy Stellato,recruit,WR,5.9,4,Clemson,ACC,2021
Beaux Collins,recruit,WR,6.0,4,Clemson,ACC,2021
Dacari Collins,recruit,WR,5.8,4,Clemson,ACC,2021
Phil Mafah,recruit,RB,5.9,4,Clemson,ACC,2021
Bubba Chandler,recruit,QB,5.6,3,Clemson,ACC,2021
Will  Shipley,recruit,RB,6.0,4,Clemson,ACC,2021
Jake Briningstool,recruit,TE,5.9,4,Clemson,ACC,2021
Trent Broadnax,recruit,WR,5.5,3,Duke,ACC,2021
Sahmir Hagans,recruit,WR,5.4,2,Duke,ACC,2021
Trent Davis,recruit,RB,5.5,3,Duke,ACC,2021
Jaquez Moore,recruit,ATH,5.5,3,Duke,ACC,2021
Riley Leonard,recruit,QB,5.7,3,Duke,ACC,2021
Jordan Moore,recruit,QB,5.5,3,Duke,ACC,2021
Joshua  Burrell,recruit,WR,5.7,3,FSU,ACC,2021
Destyn Hill,recruit,WR,5.8,4,FSU,ACC,2021
Malik McClain,recruit,WR,5.8,4,FSU,ACC,2021
Koby Gross,recruit,TE,5.5,3,FSU,ACC,2021
Jackson West,recruit,TE,5.6,3,FSU,ACC,2021
James BlackStrain,recruit,WR,5.8,4,Georgia,ACC,2021
Malik  Rutherford,recruit,WR,5.7,3,Georgia,ACC,2021
Jamal Haynes,recruit,ATH,5.6,3,Georgia,ACC,2021
Chayden Peery,recruit,QB,5.6,3,Georgia,ACC,2021
Leo Blackburn,recruit,TE,5.8,4,Georgia,ACC,2021
Ben Postma,recruit,TE,5.5,3,Georgia,ACC,2021
Ahmari Huggins-Bruce,recruit,WR,5.7,3,Louisville,ACC,2021
Demetrius Cannon,recruit,WR,5.7,3,Louisville,ACC,2021
Trevion Cooley,recruit,RB,5.5,3,Louisville,ACC,2021
Derrick Edwards,recruit,ATH,5.5,3,Louisville,ACC,2021
Brock Domann,recruit,QB,5.4,2,Louisville,ACC,2021
TJ  Lewis,recruit,QB,5.7,3,Louisville,ACC,2021
Christian Pedersen,recruit,TE,5.5,3,Louisville,ACC,2021
Victor Mullen,recruit,TE,5.7,3,Louisville,ACC,2021
Jacolby George,recruit,WR,5.8,4,Miami,ACC,2021
Brashard Smith,recruit,WR,5.9,4,Miami,ACC,2021
Romello Brinson,recruit,WR,5.8,4,Miami,ACC,2021
Malik  Curtis,recruit,WR,5.6,3,Miami,ACC,2021
Cody Brown,recruit,RB,5.8,4,Miami,ACC,2021
Thaddius Franklin,recruit,RB,5.8,4,Miami,ACC,2021
Chase Smith,recruit,ATH,5.8,4,Miami,ACC,2021
Jake Garcia,recruit,QB,6.0,4,Miami,ACC,2021
Elijah Arroyo,recruit,TE,5.8,4,Miami,ACC,2021
Kahlil Brantley,recruit,TE,5.6,3,Miami,ACC,2021
Jakolbe	 Baldwin,recruit,WR,5.5,3,NC State,ACC,2021
Micah Crowell,recruit,WR,5.9,4,NC State,ACC,2021
Julian	 Gray,recruit,WR,5.6,3,NC State,ACC,2021
Demie Sumo,recruit,ATH,5.5,3,NC State,ACC,2021
Caden Fordham,recruit,ATH,5.6,3,NC State,ACC,2021
Aaron McLaughlin,recruit,QB,5.7,3,NC State,ACC,2021
Fredrick Seabrough,recruit,TE,5.6,3,NC State,ACC,2021
Cedric Seabrough,recruit,TE,5.6,3,NC State,ACC,2021
Gavin Blackwell,recruit,WR,5.8,4,UNC,ACC,2021
JJ  Jones,recruit,WR,5.7,3,UNC,ACC,2021
Kobe  Paysour,recruit,WR,5.7,3,UNC,ACC,2021
DeAndre Boykins,recruit,ATH,5.9,4,UNC,ACC,2021
Kamarro Edmonds,recruit,ATH,5.6,3,UNC,ACC,2021
Caleb Hood,recruit,ATH,5.5,3,UNC,ACC,2021
Drake Maye,recruit,QB,5.9,4,UNC,ACC,2021
Bryson Nesbit,recruit,TE,5.8,4,UNC,ACC,2021
Jaden	 Bradley,recruit,WR,5.6,3,Pitt,ACC,2021
Myles Alston,recruit,WR,5.6,3,Pitt,ACC,2021
Malik Newton,recruit,RB,5.7,3,Pitt,ACC,2021
Rodney Hammond,recruit,RB,5.6,3,Pitt,ACC,2021
Jake Renda,recruit,ATH,5.5,3,Pitt,ACC,2021
Nate Yarnell,recruit,QB,5.5,3,Pitt,ACC,2021
Cole Mitchell,recruit,TE,5.5,3,Pitt,ACC,2021
Gavin Bartholomew,recruit,TE,5.5,3,Pitt,ACC,2021
Umari	 Hatcher,recruit,WR,5.5,3,Syracuse,ACC,2021
Kendall Long,recruit,WR,5.4,2,Syracuse,ACC,2021
Oronde Gadsden,recruit,WR,5.6,3,Syracuse,ACC,2021
Josh	 Hough,recruit,RB,5.5,3,Syracuse,ACC,2021
Justin Lamson,recruit,QB,5.5,3,Syracuse,ACC,2021
Landon Morris,recruit,TE,5.5,3,Syracuse,ACC,2021
Derek McDonald,recruit,TE,5.5,3,Syracuse,ACC,2021
Malachi Fields,recruit,WR,5.3,2,virginia,ACC,2021
Jesiah Davis,recruit,WR,5.5,3,virginia,ACC,2021
Javin	 Burke,recruit,RB,5.5,3,virginia,ACC,2021
Amaad Foston,recruit,RB,5.6,3,virginia,ACC,2021
Aidan Ryan,recruit,ATH,5.5,3,virginia,ACC,2021
Jacob Rodriguez,recruit,QB,5.6,3,virginia,ACC,2021
Jay Woolfolk,recruit,QB,5.6,3,virginia,ACC,2021
Jack Witmer,recruit,TE,5.5,3,virginia,ACC,2021
Jaylen Jones,recruit,WR,5.5,3,virginia,ACC,2021
Dawain Lofton,recruit,WR,5.5,3,virginia,ACC,2021
DJ Sims,recruit,WR,5.6,3,virginia,ACC,2021
Christian  Moss,recruit,WR,5.5,3,virginia,ACC,2021
Kenji  Christian ,recruit,RB,5.6,3,virginia,ACC,2021
Malachi Thomas,recruit,RB,5.5,3,virginia,ACC,2021
Jayden McDonald,recruit,ATH,5.5,3,virginia,ACC,2021
Jorden McDonald,recruit,ATH,5.5,3,virginia,ACC,2021
Elijah Howard,recruit,ATH,5.5,3,virginia,ACC,2021
Nykelius Johnson,recruit,ATH,5.5,3,virginia,ACC,2021
Tahjamell Bullock,recruit,QB,5.6,3,virginia,ACC,2021
Chance Black,recruit,RB,5.5,3,virginia,ACC,2021
Jared Gibble,recruit,TE,5.4,2,virginia,ACC,2021
Horatio Fields,recruit,WR,5.4,2,Wake,ACC,2021
Will Towns,recruit,RB,5.6,3,Wake,ACC,2021
Dezmond Williams,recruit,ATH,5.3,2,Wake,ACC,2021
Billy Edwards,recruit,QB,5.5,3,Wake,ACC,2021
Santino Marucci,recruit,QB,5.7,3,Wake,ACC,2021
