name,class,pos,rate,star,school,conf,year
RJ Garcia,recruit,WR,5.5,3,Kansas State,BIG12,2021
Tyrone Howell,recruit,WR,0.0,0,Kansas State,BIG12,2021
Brenen Hawkins,recruit,WR,5.5,3,Kansas State,BIG12,2021
D.J. Giddens,recruit,RB,5.4,2,Kansas State,BIG12,2021
Devrin Weathers,recruit,ATH,5.6,3,Kansas State,BIG12,2021
Dorian Stephens,recruit,ATH,5.6,3,Kansas State,BIG12,2021
Jake  Rubley,recruit,QB,5.8,4,Kansas State,BIG12,2021
Jalil Farooq,recruit,WR,5.9,4,Oklahoma,BIG12,2021
Mario Williams,recruit,WR,6.1,5,Oklahoma,BIG12,2021
Cody Jackson,recruit,WR,5.8,4,Oklahoma,BIG12,2021
Billy Bowman,recruit,ATH,6.0,4,Oklahoma,BIG12,2021
Caleb Williams,recruit,QB,6.1,5,Oklahoma,BIG12,2021
Bryson Green,recruit,WR,5.7,3,Oklahoma State,BIG12,2021
Blaine Green,recruit,WR,5.7,3,Oklahoma State,BIG12,2021
Cam Smith,recruit,WR,5.5,3,Oklahoma State,BIG12,2021
Jaden Bray,recruit,WR,5.5,3,Oklahoma State,BIG12,2021
John Paul Richardson,recruit,WR,5.5,3,Oklahoma State,BIG12,2021
Makale Smith,recruit,ATH,5.5,3,Oklahoma State,BIG12,2021
Raymond Gay,recruit,ATH,5.5,3,Oklahoma State,BIG12,2021
Jaden Nixon,recruit,RB,5.5,3,Oklahoma State,BIG12,2021
Austin Jarrard,recruit,TE,5.5,3,Oklahoma State,BIG12,2021
Quincy Brown,recruit,WR,5.8,4,TCU,BIG12,2021
Chase Jackson,recruit,WR,5.5,3,TCU,BIG12,2021
TJ Steele,recruit,WR,5.5,3,TCU,BIG12,2021
Sam Jackson,recruit,ATH,5.6,3,TCU,BIG12,2021
Alexander Honig,recruit,QB,5.7,3,TCU,BIG12,2021
Trent Battle,recruit,QB,5.6,3,TCU,BIG12,2021
Ahmonte Watkins,recruit,RB,5.8,4,TCU,BIG12,2021
Jasper Lott,recruit,TE,5.6,3,TCU,BIG12,2021
Xavier Worthy,recruit,WR,5.9,4,Texas,BIG12,2021
Keithron Lee,recruit,WR,5.7,3,Texas,BIG12,2021
Jaden Alexis,recruit,WR,5.8,4,Texas,BIG12,2021
Casey Cain,recruit,WR,5.6,3,Texas,BIG12,2021
Jonathon Brooks,recruit,RB,5.8,4,Texas,BIG12,2021
Ja'Tavion Sanders,recruit,ATH,6.1,5,Texas,BIG12,2021
Charles Wright,recruit,QB,5.6,3,Texas,BIG12,2021
Gunnar Helm,recruit,TE,5.8,4,Texas,BIG12,2021
Juan Davis,recruit,TE,5.7,3,Texas,BIG12,2021
Jerand Bradley,recruit,WR,5.6,3,Texas Tech,BIG12,2021
Behren Morton,recruit,QB,5.8,4,Texas Tech,BIG12,2021
CamâRon Valdez,recruit,RB,5.8,4,Texas Tech,BIG12,2021
Mason Tharp,recruit,TE,5.5,3,Texas Tech,BIG12,2021
Jed Castles,recruit,TE,5.5,3,Texas Tech,BIG12,2021
Davis Mallinger,recruit,WR,5.5,3,West Virginia,BIG12,2021
Kaden Prather,recruit,WR,5.8,4,West Virginia,BIG12,2021
Justin Johnson,recruit,RB,5.8,4,West Virginia,BIG12,2021
Jaylen Anderson,recruit,RB,5.8,4,West Virginia,BIG12,2021
Andrew Wilson-Lamp,recruit,ATH,5.7,3,West Virginia,BIG12,2021
Will Crowder,recruit,QB,5.7,3,West Virginia,BIG12,2021
Treylan Davis,recruit,TE,5.6,3,West Virginia,BIG12,2021
Victor Wikstrom,recruit,TE,5.5,3,West Virginia,BIG12,2021
