name,class,pos,rate,star,school,conf,year
Tetairoa McMillan,recruit,WR,6.1,5,arizona,PAC12,2022
AJ Jones,recruit,WR,5.6,3,arizona,PAC12,2022
Kevin Green Jr.,recruit,WR,5.6,3,arizona,PAC12,2022
Jai-Ayviauynn Celestine,recruit,ATH,5.5,3,arizona,PAC12,2022
Jonah 	 Coleman,recruit,ATH,5.7,3,arizona,PAC12,2022
Noah Fifita,recruit,QB,5.7,3,arizona,PAC12,2022
Rayshon Luke,recruit,RB,5.8,4,arizona,PAC12,2022
Keyan Burnett,recruit,TE,5.8,4,arizona,PAC12,2022
Tyler Powell,recruit,TE,5.5,3,arizona,PAC12,2022
Zeek Freeman,recruit,WR,0.0,0,arizona,PAC12,2022
Bennett Meredith,recruit,QB,5.5,3,arizona,PAC12,2022
Tevin White,recruit,RB,5.7,3,arizona,PAC12,2022
Jacob Newell,recruit,TE,5.6,3,arizona,PAC12,2022
Bryce Pierre,recruit,TE,5.4,2,arizona,PAC12,2022
Mason Starling,recruit,WR,5.4,2,california,PAC12,2022
Jaydn Ott,recruit,RB,5.8,4,california,PAC12,2022
Ashton Hayes,recruit,RB,5.7,3,california,PAC12,2022
Jeremiah	 Earby,recruit,ATH,5.4,2,california,PAC12,2022
Jaiven	 Plummer,recruit,ATH,5.6,3,california,PAC12,2022
Fernando  Mendoza,recruit,QB,5.2,2,california,PAC12,2022
Jack Endries,recruit,TE,5.5,3,california,PAC12,2022
Grant Page,recruit,WR,5.6,3,colorado,PAC12,2022
Jordyn Tyson ,recruit,WR,5.7,3,colorado,PAC12,2022
Chase  Sowell,recruit,WR,5.5,3,colorado,PAC12,2022
Anthony Hankerson,recruit,RB,5.5,3,colorado,PAC12,2022
Xavier Smith,recruit,ATH,5.4,2,colorado,PAC12,2022
Oakie Salave'a,recruit,ATH,5.5,3,colorado,PAC12,2022
Owen McCown,recruit,QB,5.7,3,colorado,PAC12,2022
Victor Venn,recruit,RB,5.6,3,colorado,PAC12,2022
Zach Courtney,recruit,TE,5.5,3,colorado,PAC12,2022
Justius Lowe,recruit,WR,5.6,3,oregon,PAC12,2022
Kyler Kasper,recruit,WR,5.9,4,oregon,PAC12,2022
Jordan Bryant-James,recruit,RB,5.8,4,oregon,PAC12,2022
Anthony Jones,recruit,ATH,5.7,3,oregon,PAC12,2022
Jalil Tucker,recruit,ATH,5.8,4,oregon,PAC12,2022
Sam Mason,recruit,WR,5.5,3,oregon state,PAC12,2022
Damien Martinez,recruit,RB,5.7,3,oregon state,PAC12,2022
Travis Throckmorton,recruit,QB,5.6,3,oregon state,PAC12,2022
Jack Velling,recruit,TE,5.5,3,oregon state,PAC12,2022
Elic Ayomanor,recruit,WR,5.5,3,stanford,PAC12,2022
Mudia Reuben,recruit,WR,5.7,3,stanford,PAC12,2022
Arlen Harris,recruit,RB,5.7,3,stanford,PAC12,2022
Ashton Daniels ,recruit,QB,5.5,3,stanford,PAC12,2022
Sam Roush,recruit,TE,5.8,4,stanford,PAC12,2022
CJ Hawkins,recruit,TE,5.5,3,stanford,PAC12,2022
Jadyn Marshall,recruit,WR,5.7,3,UCLA,PAC12,2022
Braden Pegan,recruit,WR,5.6,3,UCLA,PAC12,2022
Tomarion Harden,recruit,RB,5.5,3,UCLA,PAC12,2022
Croix Stewart,recruit,ATH,5.5,3,UCLA,PAC12,2022
Justyn Martin,recruit,QB,5.8,4,UCLA,PAC12,2022
Carsen Ryan,recruit,TE,5.8,4,UCLA,PAC12,2022
Jack Pedersen,recruit,TE,5.7,3,UCLA,PAC12,2022
CJ Williams,recruit,WR,6.0,4,USC,PAC12,2022
Jake Jensen,recruit,QB,5.5,3,USC,PAC12,2022
Raleek Brown,recruit,RB,6.1,5,USC,PAC12,2022
Luca Caldarella,recruit,WR,0.0,0,utah,PAC12,2022
Chris Reed,recruit,WR,5.5,3,utah,PAC12,2022
Ryan Peppins,recruit,WR,5.6,3,utah,PAC12,2022
Ti'Quan Gilmore,recruit,WR,5.5,3,utah,PAC12,2022
Jaylon  Glover,recruit,RB,5.8,4,utah,PAC12,2022
Tao Johnson,recruit,ATH,5.5,3,utah,PAC12,2022
Carson Tabaracci,recruit,ATH,5.7,3,utah,PAC12,2022
Jocelyn Malaska,recruit,ATH,5.6,3,utah,PAC12,2022
Brandon Rose,recruit,QB,5.7,3,utah,PAC12,2022
Luke Bottari,recruit,QB,0.0,0,utah,PAC12,2022
Nate Johnson,recruit,QB,5.6,3,utah,PAC12,2022
Sidney Mbanasor,recruit,TE,5.7,3,utah,PAC12,2022
Denzel Boston,recruit,ATH,5.5,3,washington,PAC12,2022
Ryan Otton,recruit,TE,5.8,4,washington,PAC12,2022
David Johnson,recruit,WR,5.4,2,washington,PAC12,2022
Djouvensky Schlenbaker,recruit,RB,5.5,3,washington,PAC12,2022
John 	 Mateer,recruit,QB,5.2,2,washington,PAC12,2022
Jaylen Jenkins,recruit,RB,5.5,3,washington,PAC12,2022
Cameron Johnson,recruit,TE,5.4,2,washington,PAC12,2022
Andre Dollar,recruit,TE,5.7,3,washington,PAC12,2022
