name,class,pos,rate,star,school,conf,year
Ryan Pellum,recruit,WR,5.9,4,oregon,BIG10,2024
Dillon Gresham,recruit,WR,5.9,4,oregon,BIG10,2024
Jeremiah McClellan,recruit,WR,6.0,4,oregon,BIG10,2024
Jack Ressler,recruit,WR,5.6,3,oregon,BIG10,2024
Gatlin Bair,recruit,WR,6.0,4,oregon,BIG10,2024
Da'Jaun Riggs,recruit,RB,5.7,3,oregon,BIG10,2024
Luke Moga,recruit,QB,5.8,4,oregon,BIG10,2024
AJ Pugliano,recruit,TE,5.8,4,oregon,BIG10,2024
Roger Saleapaga,recruit,TE,5.8,4,oregon,BIG10,2024
Jason Robinson,recruit,WR,5.8,4,washington,BIG10,2024
Peyton Waters,recruit,WR,5.8,4,washington,BIG10,2024
Justice Williams,recruit,WR,5.7,3,washington,BIG10,2024
Rahshawn Clark,recruit,ATH,5.7,3,washington,BIG10,2024
Dermaricus Davis,recruit,QB,5.7,3,washington,BIG10,2024
Charlie Crowell,recruit,TE,5.5,3,washington,BIG10,2024
Decker DeGraaf,recruit,TE,5.5,3,washington,BIG10,2024
Kwazi Gilmer,recruit,WR,5.9,4,UCLA,BIG10,2024
Cameron Jones,recruit,RB,5.8,4,UCLA,BIG10,2024
Henry Hasselbeck,recruit,QB,5.5,3,UCLA,BIG10,2024
Karson Gordon,recruit,QB,5.5,3,UCLA,BIG10,2024
Xavier Jordan,recruit,WR,5.9,4,USC,BIG10,2024
Bryan Jackson,recruit,RB,5.7,3,USC,BIG10,2024
Jadyn Walker,recruit,ATH,5.5,3,USC,BIG10,2024
Desman Stephens,recruit,ATH,5.8,4,USC,BIG10,2024
Joey Olsen,recruit,TE,5.8,4,USC,BIG10,2024
Walter Matthews,recruit,TE,5.8,4,USC,BIG10,2024
