name,class,pos,rate,star,school,conf,year
Amari Jefferson,recruit,WR,5.8,4,alabama,SEC,2024
Ryan Williams,recruit,WR,6.1,5,alabama,SEC,2024
Rico Scott,recruit,WR,5.8,4,alabama,SEC,2024
Daniel Hill,recruit,RB,5.8,4,alabama,SEC,2024
Kevin Riley,recruit,RB,5.9,4,alabama,SEC,2024
Aeryn Hampton,recruit,ATH,5.9,4,alabama,SEC,2024
Julian Sayin,recruit,QB,6.1,5,alabama,SEC,2024
Caleb Odom,recruit,TE,5.9,4,alabama,SEC,2024
Jay Lindsey,recruit,TE,5.6,3,alabama,SEC,2024
Krosse Johnson,recruit,WR,5.4,2,arkansas,SEC,2024
Tyrell Reed,recruit,RB,5.4,2,arkansas,SEC,2024
Braylen Russell,recruit,RB,5.8,4,arkansas,SEC,2024
Julius Pope,recruit,ATH,5.8,4,arkansas,SEC,2024
Ahkhari Johnson,recruit,ATH,5.7,3,arkansas,SEC,2024
CJ Brown,recruit,ATH,5.6,3,arkansas,SEC,2024
Zachary Taylor,recruit,QB,5.3,2,arkansas,SEC,2024
KJ Jackson,recruit,QB,5.8,4,arkansas,SEC,2024
Bryce Cain,recruit,WR,5.8,4,auburn,SEC,2024
Perry Thompson,recruit,WR,6.0,4,auburn,SEC,2024
Cam Coleman,recruit,WR,6.1,5,auburn,SEC,2024
Malcolm Simmons,recruit,ATH,5.8,4,auburn,SEC,2024
Walker White,recruit,QB,5.8,4,auburn,SEC,2024
Tawaski Abrams,recruit,WR,5.8,4,florida,SEC,2024
Jerrae Hawkins,recruit,WR,5.8,4,florida,SEC,2024
Jadan Baugh,recruit,RB,5.8,4,florida,SEC,2024
DJ Lagway,recruit,QB,6.1,5,florida,SEC,2024
Kahnen Daniels,recruit,RB,5.8,4,florida,SEC,2024
Amir Jackson,recruit,TE,5.9,4,florida,SEC,2024
David Washington Jr.,recruit,WR,5.7,3,kentucky,SEC,2024
Hardley Gilmore,recruit,WR,5.9,4,kentucky,SEC,2024
Jason Patterson,recruit,RB,5.6,3,kentucky,SEC,2024
Tovani Mizell,recruit,RB,5.6,3,kentucky,SEC,2024
Quaysheed Scott,recruit,ATH,5.5,3,kentucky,SEC,2024
Jiquavious Marshall,recruit,ATH,5.7,3,kentucky,SEC,2024
Cutter Boley,recruit,QB,5.8,4,kentucky,SEC,2024
Willie Rodriguez,recruit,TE,5.7,3,kentucky,SEC,2024
Kylan Billiot,recruit,WR,5.8,4,LSU,SEC,2024
Jelani Watkins,recruit,WR,5.8,4,LSU,SEC,2024
Michael Turner,recruit,WR,5.7,3,LSU,SEC,2024
Caden Durham,recruit,RB,5.9,4,LSU,SEC,2024
Colin Hurley,recruit,QB,5.8,4,LSU,SEC,2024
Knox Dyson,recruit,QB,0.0,0,LSU,SEC,2024
Trey'Dez Green,recruit,TE,6.0,4,LSU,SEC,2024
Braylon Burnside,recruit,WR,5.9,4,mississippi,SEC,2024
JJ Harrell,recruit,WR,5.9,4,mississippi,SEC,2024
Sanfrisco Magee,recruit,WR,5.6,3,mississippi,SEC,2024
Mario Craver,recruit,WR,5.8,4,mississippi,SEC,2024
Ricky Johnson,recruit,WR,5.5,3,mississippi,SEC,2024
Matthew Mayfield,recruit,WR,5.7,3,mississippi,SEC,2024
Cyrus Reyes,recruit,ATH,5.4,2,mississippi,SEC,2024
Xavier Gayten,recruit,ATH,5.7,3,mississippi,SEC,2024
Michael Van Buren,recruit,QB,5.8,4,mississippi,SEC,2024
Johnnie Daniels,recruit,RB,5.6,3,mississippi,SEC,2024
JaCorey Whitted,recruit,TE,5.7,3,mississippi,SEC,2024
James Madison,recruit,WR,5.8,4,missouri,SEC,2024
Courtney Crutchfield,recruit,WR,5.8,4,missouri,SEC,2024
Austyn Dendy,recruit,ATH,5.6,3,missouri,SEC,2024
Jude James,recruit,ATH,5.6,3,missouri,SEC,2024
Aidan Glover,recruit,QB,5.7,3,missouri,SEC,2024
Kewan Lacy,recruit,RB,5.9,4,missouri,SEC,2024
Whit Hafer,recruit,TE,5.6,3,missouri,SEC,2024
Jarnorris Hopson,recruit,WR,0.0,0,ole miss,SEC,2024
Deion Smith,recruit,WR,5.9,4,ole miss,SEC,2024
Noreel White,recruit,WR,5.8,4,ole miss,SEC,2024
Katrevrick Banks,recruit,ATH,5.6,3,ole miss,SEC,2024
Anthony Robinson III,recruit,ATH,5.7,3,ole miss,SEC,2024
Shamaar Darden,recruit,ATH,5.5,3,ole miss,SEC,2024
Anthony Maddox Jr.,recruit,QB,5.8,4,ole miss,SEC,2024
Dillon Hipp,recruit,TE,5.6,3,ole miss,SEC,2024
Mazeo Bennett,recruit,WR,5.8,4,carolina,SEC,2024
Debron Gatling,recruit,WR,5.6,3,carolina,SEC,2024
Matthew Fuller,recruit,RB,5.7,3,carolina,SEC,2024
Jalewis Solomon,recruit,ATH,5.9,4,carolina,SEC,2024
Dante Reno,recruit,QB,5.8,4,carolina,SEC,2024
Michael Smith,recruit,TE,5.8,4,carolina,SEC,2024
Ashton Bethel-Roman,recruit,WR,5.8,4,texas,SEC,2024
Izaiah Williams,recruit,WR,5.8,4,texas,SEC,2024
Ernest Campbell,recruit,WR,5.8,4,texas,SEC,2024
Terry Bussey,recruit,ATH,6.1,5,texas,SEC,2024
Miles O'Neill,recruit,QB,5.8,4,texas,SEC,2024
Eric Karner,recruit,TE,5.8,4,texas,SEC,2024
Braylon Staley,recruit,WR,5.8,4,tennessee,SEC,2024
Mike Matthews,recruit,WR,6.1,5,tennessee,SEC,2024
Peyton Lewis,recruit,RB,5.8,4,tennessee,SEC,2024
Boo Carter,recruit,ATH,6.0,4,tennessee,SEC,2024
Colin Brazzell,recruit,ATH,5.5,3,tennessee,SEC,2024
Jake Merklinger,recruit,QB,5.9,4,tennessee,SEC,2024
Cole Harrison,recruit,TE,5.5,3,tennessee,SEC,2024
Sacovie White,recruit,WR,5.8,4,georgia,SEC,2024
NiTareon Tuggle,recruit,WR,5.9,4,georgia,SEC,2024
Chauncey Bowens,recruit,RB,5.9,4,georgia,SEC,2024
Demello Jones,recruit,ATH,5.9,4,georgia,SEC,2024
Ryan Puglisi,recruit,QB,5.8,4,georgia,SEC,2024
Nate Frazier,recruit,RB,6.0,4,georgia,SEC,2024
Dwight Phillips,recruit,RB,5.8,4,georgia,SEC,2024
Jaden Reddell,recruit,TE,5.9,4,georgia,SEC,2024
Colton Heinrich,recruit,TE,5.8,4,georgia,SEC,2024
Joseph McVay,recruit,WR,5.7,3,vanderbilt,SEC,2024
Markeis Barrett,recruit,WR,5.7,3,vanderbilt,SEC,2024
Tristen Brown,recruit,WR,5.6,3,vanderbilt,SEC,2024
Johann Cardenas,recruit,RB,5.7,3,vanderbilt,SEC,2024
Tate Hamby,recruit,ATH,5.5,3,vanderbilt,SEC,2024
Whit Muschamp,recruit,QB,5.7,3,vanderbilt,SEC,2024
Jeremy St-Hilaire,recruit,QB,5.7,3,vanderbilt,SEC,2024
Brycen Coleman,recruit,TE,5.5,3,vanderbilt,SEC,2024
Tyler Fortenberry,recruit,TE,5.5,3,vanderbilt,SEC,2024
Parker Livingstone,recruit,WR,5.9,4,Texas,SEC,2024
Aaron Butler,recruit,WR,5.9,4,Texas,SEC,2024
Ryan Wingo,recruit,WR,6.0,4,Texas,SEC,2024
Freddie Dubose Jr,recruit,WR,5.8,4,Texas,SEC,2024
Jerrick Gibson,recruit,RB,5.9,4,Texas,SEC,2024
Trey Owens,recruit,QB,5.8,4,Texas,SEC,2024
Christian Clark,recruit,RB,5.9,4,Texas,SEC,2024
Jordan Washington,recruit,TE,5.7,3,Texas,SEC,2024
Zion Kearney,recruit,WR,5.9,4,Oklahoma,SEC,2024
Ivan Carreon,recruit,WR,5.8,4,Oklahoma,SEC,2024
Kelly Daniels,recruit,WR,5.7,3,Oklahoma,SEC,2024
Zion Ragins,recruit,WR,5.8,4,Oklahoma,SEC,2024
Xavier Robinson,recruit,RB,5.7,3,Oklahoma,SEC,2024
Taylor Tatum,recruit,RB,6.0,4,Oklahoma,SEC,2024
Andy Bass,recruit,ATH,5.7,3,Oklahoma,SEC,2024
Brendan Zurbrugg,recruit,QB,5.6,3,Oklahoma,SEC,2024
Michael Hawkins,recruit,QB,5.9,4,Oklahoma,SEC,2024
Davon Mitchell,recruit,TE,5.8,4,Oklahoma,SEC,2024
