rivals_school_name,rivals_school_id,school_id,conf_id
bwi,34,Penn,BIG10
illinois,26,Illinois,BIG10
indiana,27,Indiana,BIG10
iowa,28,Iowa,BIG10
maryland,5,Maryland,BIG10
michigan,29,Michigan,BIG10
michiganstate,30,Michigan,BIG10
minnesota,31,Minnesota,BIG10
nebraska,23,Nebraska,BIG10
northwestern,32,Northwestern,BIG10
ohiostate,33,Ohio State,BIG10
purdue,35,Purdue,BIG10
rutgers,13,Rutgers,BIG10
wisconsin,36,Wisconsin,BIG10
notredame,14,Notre Dame,IND
oregon,60,oregon,BIG10
washington,65,washington,BIG10
ucla,64,UCLA,BIG10
usc,62,USC,BIG10
