name,class,pos,rate,star,school,conf,year
Tre Nation,recruit,RB,5.4,2,ILL,BIG10,2016
Andrew Trainer,recruit,TE,5.5,3,ILL,BIG10,2016
Eli Peters,recruit,QB,5.5,3,ILL,BIG10,2016
Griffin Palmer,recruit,TE,5.4,2,ILL,BIG10,2016
Zarrian Holcombe,recruit,TE,5.6,3,ILL,BIG10,2016
MJ McGriff,recruit,WR,5.3,2,ILL,BIG10,2016
Dominic Thieman,recruit,WR,5.2,2,ILL,BIG10,2016
Peyton Ramsey,recruit,QB,5.4,2,IND,BIG10,2016
Cole Gest,recruit,RB,5.5,3,IND,BIG10,2016
Kiante Enis,recruit,ATH,5.7,3,IND,BIG10,2016
Tyler Natee,recruit,ATH,5.3,2,IND,BIG10,2016
Phil Benker,recruit,WR,5.4,2,IND,BIG10,2016
Ian Thomas,recruit,TE,5.4,2,IND,BIG10,2016
Taysir Mack,recruit,WR,5.6,3,IND,BIG10,2016
Jonah Morris,recruit,ATH,5.7,3,IND,BIG10,2016
Shaun Bonner,recruit,TE,5.3,2,IND,BIG10,2016
Richard Lagow,recruit,QB,5.6,3,IND,BIG10,2016
Emmanuel Rugamba,recruit,ATH,5.7,3,IOWA,BIG10,2016
Noah Fant,recruit,TE,5.7,3,IOWA,BIG10,2016
Toren Young,recruit,RB,5.6,3,IOWA,BIG10,2016
T.J. Hockenson,recruit,TE,5.5,3,IOWA,BIG10,2016
Toks Akinribade,recruit,ATH,5.7,3,IOWA,BIG10,2016
Barrington Wade,recruit,RB,5.5,3,IOWA,BIG10,2016
Nathan Stanley,recruit,QB,5.6,3,IOWA,BIG10,2016
Devonte Young,recruit,WR,5.4,2,IOWA,BIG10,2016
Shaun Beyer,recruit,TE,5.6,3,IOWA,BIG10,2016
Lorenzo Harrison,recruit,RB,5.7,3,MYLD,BIG10,2016
Tino Ellis,recruit,WR,5.9,4,MYLD,BIG10,2016
Laderrien Wilson,recruit,RB,5.5,3,MYLD,BIG10,2016
Darryl Turner,recruit,ATH,5.8,4,MYLD,BIG10,2016
Tyrek Tisdale,recruit,ATH,5.7,3,MYLD,BIG10,2016
Ty Pigrome,recruit,ATH,5.6,3,MYLD,BIG10,2016
Max Bortenschlager,recruit,QB,5.4,2,MYLD,BIG10,2016
Antoine Brooks,recruit,ATH,5.5,3,MYLD,BIG10,2016
Brett Shepherd,recruit,ATH,5.4,2,MYLD,BIG10,2016
Jake Funk,recruit,ATH,5.4,2,MYLD,BIG10,2016
Noah Barnes,recruit,TE,5.4,2,MYLD,BIG10,2016
Kareem Walker,recruit,RB,5.8,4,MICH,BIG10,2016
Ahmir Mitchell,recruit,WR,5.9,4,MICH,BIG10,2016
Brad Hawkins Jr.,recruit,WR,5.8,4,MICH,BIG10,2016
Dylan Crawford,recruit,WR,5.9,4,MICH,BIG10,2016
Devin Asiasi,recruit,TE,6.0,4,MICH,BIG10,2016
Chris Evans,recruit,ATH,5.7,3,MICH,BIG10,2016
Kingston Davis,recruit,RB,5.7,3,MICH,BIG10,2016
Brandon Peters,recruit,QB,5.9,4,MICH,BIG10,2016
Nate Johnson,recruit,WR,5.7,3,MICH,BIG10,2016
Nick Eubanks,recruit,TE,5.8,4,MICH,BIG10,2016
Sean McKeon,recruit,TE,5.6,3,MICH,BIG10,2016
Khaleke Hudson,recruit,ATH,5.7,3,MICH,BIG10,2016
Eddie McDoom,recruit,WR,5.7,3,MICH,BIG10,2016
Cameron Chambers,recruit,WR,5.9,4,MIST,BIG10,2016
Messiah deWeaver,recruit,QB,5.8,4,MIST,BIG10,2016
Justin Layne,recruit,WR,5.8,4,MIST,BIG10,2016
Donnie Corley,recruit,WR,6.0,4,MIST,BIG10,2016
Noah Davis,recruit,TE,5.7,3,MIST,BIG10,2016
Trishton Jackson,recruit,WR,5.8,4,MIST,BIG10,2016
Phillip Howard,recruit,ATH,5.6,3,MINN,BIG10,2016
Kamal Martin,recruit,ATH,5.6,3,MINN,BIG10,2016
Seth Green,recruit,QB,5.7,3,MINN,BIG10,2016
Tyler Johnson,recruit,ATH,5.7,3,MINN,BIG10,2016
DeMarcus Williams,recruit,ATH,5.4,2,MINN,BIG10,2016
Kobe McCrary,recruit,RB,5.6,3,MINN,BIG10,2016
Drew Hmielewski,recruit,WR,5.4,2,MINN,BIG10,2016
Ko Kieft,recruit,ATH,5.4,2,MINN,BIG10,2016
Tre Bryant,recruit,RB,5.6,3,NEB,BIG10,2016
David Engelhaupt,recruit,TE,5.5,3,NEB,BIG10,2016
Patrick O'Brien,recruit,QB,5.8,4,NEB,BIG10,2016
JD Spielman,recruit,ATH,5.7,3,NEB,BIG10,2016
Jack Stoll,recruit,TE,5.6,3,NEB,BIG10,2016
Derrion Grim,recruit,ATH,5.7,3,NEB,BIG10,2016
Jeremy Larkin,recruit,RB,5.7,3,NWU,BIG10,2016
Jesse Brown,recruit,RB,5.4,2,NWU,BIG10,2016
Aidan Smith,recruit,QB,5.7,3,NWU,BIG10,2016
Ben Skowronek,recruit,WR,5.6,3,NWU,BIG10,2016
Riley Lees,recruit,WR,5.6,3,NWU,BIG10,2016
Ramaud Chiaokhiao-Bowman,recruit,WR,5.6,3,NWU,BIG10,2016
Eric Eshoo,recruit,TE,5.6,3,NWU,BIG10,2016
Austin Mack,recruit,WR,5.9,4,OSU,BIG10,2016
Jahsen Wint,recruit,ATH,5.5,3,OSU,BIG10,2016
Dwayne Haskins Jr.,recruit,QB,5.9,4,OSU,BIG10,2016
Luke Farrell,recruit,TE,5.8,4,OSU,BIG10,2016
Rodjay Burns,recruit,ATH,5.5,3,OSU,BIG10,2016
DeMario McCall,recruit,RB,6.0,4,OSU,BIG10,2016
Kierre Hawkins,recruit,TE,5.8,4,OSU,BIG10,2016
Malik Harrison,recruit,ATH,5.7,3,OSU,BIG10,2016
Antonio Williams,recruit,RB,5.9,4,OSU,BIG10,2016
Binjimen Victor,recruit,WR,5.9,4,OSU,BIG10,2016
Jake Hausmann,recruit,TE,6.0,4,OSU,BIG10,2016
Jake Zembiec,recruit,QB,5.8,4,PSU,BIG10,2016
Miles Sanders,recruit,RB,6.0,4,PSU,BIG10,2016
Danny Dalton,recruit,TE,5.6,3,PSU,BIG10,2016
Dae'lun Darien,recruit,ATH,5.5,3,PSU,BIG10,2016
Jack Wegher,recruit,ATH,5.3,2,PUR,BIG10,2016
Javonte Ferguson,recruit,WR,5.5,3,PUR,BIG10,2016
Terrance Landers,recruit,WR,5.6,3,PUR,BIG10,2016
Jared Sparks,recruit,QB,5.3,2,PUR,BIG10,2016
Benaiah Franklin,recruit,WR,5.4,2,PUR,BIG10,2016
Brian Lankford-Johnson,recruit,RB,,,PUR,BIG10,2016
Jackson Anthrop,recruit,ATH,5.4,2,PUR,BIG10,2016
Mohamed Jabbie,recruit,WR,5.5,3,RUT,BIG10,2016
K.J. Gray,recruit,ATH,5.6,3,RUT,BIG10,2016
Ahmed Bah,recruit,WR,5.3,2,RUT,BIG10,2016
Trey Sneed,recruit,RB,5.6,3,RUT,BIG10,2016
Tylin Oden,recruit,QB,5.7,3,RUT,BIG10,2016
Dacoven Bailey,recruit,WR,5.3,2,RUT,BIG10,2016
Kare' Lyles,recruit,QB,5.5,3,WIS,BIG10,2016
A.J. Taylor,recruit,ATH,5.9,4,WIS,BIG10,2016
Jake Hescock,recruit,TE,5.6,3,WIS,BIG10,2016
