name,class,pos,rate,star,school,conf,year
Jake Fromm,recruit,QB,6.1,5,georgia,SEC,2017
Najee Harris,recruit,RB,6.1,5,alabama,SEC,2017
Jerry Jeudy,recruit,WR,6.1,5,alabama,SEC,2017
Tee Higgins,recruit,WR,6.1,5,CLEM,ACC,2017
Hunter Johnson,recruit,QB,6.1,5,CLEM,ACC,2017
Cam Akers,recruit,RB,6.1,5,FSU,ACC,2017
Khalan Laborn,recruit,RB,6.1,5,FSU,ACC,2017
Donovan Peoples-Jones,recruit,WR,6.1,5,MICH,BIG10,2017
Trevon Grimes,recruit,WR,6.1,5,OSU,BIG10,2017
Davis Mills,recruit,QB,6.1,5,stanford,PAC12,2017
D'Andre Swift,recruit,RB,6,4,georgia,SEC,2017
Tua Tagovailoa,recruit,QB,6,4,alabama,SEC,2017
DeVonta Smith,recruit,WR,6,4,alabama,SEC,2017
D.J. Matthews,recruit,WR,6,4,FSU,ACC,2017
Jeff Thomas,recruit,WR,6,4,MIA,ACC,2017
Tyjon Lindsey,recruit,WR,6,4,NEB,BIG10,2017
J.K. Dobbins,recruit,RB,6,4,OSU,BIG10,2017
Tate Martell,recruit,QB,6,4,OSU,BIG10,2017
Cedarian Lamb,recruit,WR,6,4,OKLA,BIG12,2017
Brock Wright,recruit,TE,6,4,Notre Dame,IND,2017
Deommodore Lenoir,recruit,ATH,6,4,oregon,PAC12,2017
Colby Parkinson,recruit,TE,6,4,stanford,PAC12,2017
Stephen Carr,recruit,RB,6,4,USC,PAC12,2017
Joseph Lewis,recruit,WR,6,4,USC,PAC12,2017
James Robinson,recruit,WR,5.9,4,florida,SEC,2017
Mark Webb,recruit,WR,5.9,4,georgia,SEC,2017
Deangelo Gibbs,recruit,ATH,5.9,4,georgia,SEC,2017
JaVonte Richardson,recruit,ATH,5.9,4,kentucky,SEC,2017
Jamyest Williams,recruit,ATH,5.9,4,carolina,SEC,2017
OrTre Smith,recruit,WR,5.9,4,carolina,SEC,2017
Ty Chandler,recruit,RB,5.9,4,tennessee,SEC,2017
Jordan Murphy,recruit,WR,5.9,4,tennessee,SEC,2017
Brian Robinson,recruit,RB,5.9,4,alabama,SEC,2017
Mac Jones,recruit,QB,5.9,4,alabama,SEC,2017
Henry Ruggs,recruit,WR,5.9,4,alabama,SEC,2017
Tyrell Shavers,recruit,WR,5.9,4,alabama,SEC,2017
Jeremy Patton,recruit,TE,5.9,4,arkansas,SEC,2017
Brandon Martin,recruit,WR,5.9,4,arkansas,SEC,2017
Chase Hayden,recruit,RB,5.9,4,arkansas,SEC,2017
Malcolm Askew,recruit,ATH,5.9,4,auburn,SEC,2017
Devan Barrett,recruit,RB,5.9,4,auburn,SEC,2017
Keytaon Thompson,recruit,QB,5.9,4,mississippi,SEC,2017
Colin Wilson,recruit,RB,5.9,4,LOU,ACC,2017
Mike Harley,recruit,WR,5.9,4,MIA,ACC,2017
Sean Clifford,recruit,QB,5.9,4,PSU,BIG10,2017
Kasim Hill,recruit,QB,5.9,4,MYLD,BIG10,2017
Anthony McFarland,recruit,RB,5.9,4,MYLD,BIG10,2017
Dylan McCaffrey,recruit,QB,5.9,4,MICH,BIG10,2017
Nico Collins,recruit,WR,5.9,4,MICH,BIG10,2017
Tarik Black,recruit,WR,5.9,4,MICH,BIG10,2017
Matt Dotson,recruit,TE,5.9,4,MIST,BIG10,2017
Tristan Gebbia,recruit,QB,5.9,4,NEB,BIG10,2017
Brendon White,recruit,ATH,5.9,4,OSU,BIG10,2017
Danny Davis,recruit,WR,5.9,4,WIS,BIG10,2017
Charleston Rambo,recruit,WR,5.9,4,OKLA,BIG12,2017
Trey Sermon,recruit,RB,5.9,4,OKLA,BIG12,2017
Chris Robison,recruit,QB,5.9,4,OKLA,BIG12,2017
Omar Manning,recruit,WR,5.9,4,TCU,BIG12,2017
Sam Ehlinger,recruit,QB,5.9,4,TEX,BIG12,2017
Cole Kmet,recruit,TE,5.9,4,Notre Dame,IND,2017
Nathan Tilford,recruit,ATH,5.9,4,ARZ,PAC12,2017
Tyler Johnson,recruit,ATH,5.9,4,AZST,PAC12,2017
Eno Benjamin,recruit,RB,5.9,4,AZST,PAC12,2017
Jaylon Redd,recruit,ATH,5.9,4,oregon,PAC12,2017
Isaiah Hodgins,recruit,WR,5.9,4,oregon state,PAC12,2017
Osiris St. Brown,recruit,WR,5.9,4,stanford,PAC12,2017
Connor Wedington,recruit,ATH,5.9,4,stanford,PAC12,2017
Sione Lund,recruit,ATH,5.9,4,stanford,PAC12,2017
Jack Sears,recruit,QB,5.9,4,USC,PAC12,2017
Isaiah Pola-Mao,recruit,ATH,5.9,4,USC,PAC12,2017
